 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.948 0.795 -5.677 -3.209 0.528 0.435 3.0 12.0 2.51
PermCellPDO -4.452 0.702 -5.52 -2.861 0.332 0.252 6.0 20.0 1.99
PermCell3HPA -3.747 0.444 -4.445 -2.673 0.234 0.181 4.0 17.0 2.06
PermCellDHA -3.773 0.489 -4.892 -3.057 0.214 0.166 7.0 27.0 2.27
k1DhaB 1.177 1.796 -0.7 2.972 1.268 1.074 3.0 28.0 2.08
k2DhaB -1.456 1.025 -2.322 0.386 0.673 0.592 2.0 36.0 2.61
k3DhaB 2.298 0.249 1.961 2.538 0.172 0.145 3.0 13.0 2.2
KeqDhaB 7.431 0.22 7.005 7.607 0.109 0.084 9.0 21.0 1.92
k1DhaT 1.314 1.345 0.07 3.545 0.939 0.791 2.0 11.0 2.32
k2DhaT 1.715 0.811 0.435 2.457 0.548 0.469 2.0 12.0 2.73
k3DhaT 0.307 1.904 -1.908 2.623 1.336 1.129 3.0 15.0 2.02
k4DhaT 0.902 0.453 -0.12 1.669 0.225 0.172 5.0 15.0 2.01
k5DhaT -0.243 3.019 -3.247 3.259 2.127 1.8 2.0 12.0 2.65
k6DhaT 1.926 0.722 0.696 2.567 0.446 0.395 3.0 28.0 1.85
k7DhaT 3.088 0.338 2.377 3.662 0.129 0.095 10.0 24.0 2.12
KeqDhaT 3.379 0.625 2.828 4.507 0.412 0.339 3.0 18.0 2.15
k1DhaD 0.193 0.18 -0.21 0.545 0.061 0.045 6.0 11.0 1.96
k2DhaD 1.72 0.431 0.793 2.584 0.249 0.197 3.0 12.0 2.0
k3DhaD 1.586 1.739 -0.588 3.709 1.216 1.025 3.0 16.0 2.04
k4DhaD -0.023 1.957 -1.948 2.517 1.368 1.153 3.0 23.0 2.17
k5DhaD 0.818 0.257 0.294 1.019 0.144 0.121 3.0 34.0 1.82
k6DhaD 3.059 1.595 0.761 5.246 1.102 0.925 3.0 24.0 2.2
k7DhaD 1.067 1.034 -0.319 2.068 0.716 0.615 2.0 12.0 2.63
KeqDhaD -4.12 0.467 -5.137 -3.477 0.306 0.252 3.0 13.0 2.22
k1E0 2.656 3.419 -1.371 6.576 2.402 2.029 3.0 52.0 1.88
k2E0 -1.626 1.164 -2.862 -0.25 0.82 0.696 3.0 22.0 2.18
k3E0 -1.627 1.519 -3.105 0.521 1.051 0.907 2.0 13.0 2.4
k4E0 -1.097 2.462 -4.216 2.04 1.719 1.448 3.0 11.0 2.17
VmaxfDhaK 1.865 1.037 0.364 2.854 0.727 0.618 3.0 16.0 2.21
KmDhaK -0.509 1.604 -2.882 1.22 1.114 0.936 3.0 11.0 2.15
DHAB_INIT -1.992 0.311 -2.299 -1.597 0.218 0.184 3.0 17.0 2.36
DHAT_INIT -0.503 0.633 -1.121 0.315 0.443 0.378 2.0 15.0 2.74
DHAD_INIT 0.018 0.82 -0.792 0.963 0.576 0.487 2.0 12.0 2.43
E0_INIT 0.419 0.594 -0.385 1.0 0.413 0.353 3.0 23.0 1.94
NADH_NAD_TOTAL_INIT 0.892 0.122 0.671 1.0 0.078 0.065 3.0 23.0 1.83
NADH_NAD_RATIO_INIT -0.885 1.07 -1.939 0.459 0.75 0.64 3.0 26.0 2.19
