 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.045 0.644 -5.313 -2.412 0.028 0.02 305.0 124.0 1.83
PermCellPDO -3.861 0.619 -5.407 -2.653 0.022 0.046 217.0 304.0 1.82
PermCell3HPA -4.13 0.637 -5.38 -2.477 0.024 0.017 491.0 268.0 1.85
k1DhaB 1.156 1.248 -0.361 2.391 0.874 0.746 3.0 12.0 2.11
k2DhaB -0.517 1.021 -1.38 1.922 0.499 0.381 4.0 109.0 2.2
k3DhaB 2.088 0.167 1.852 2.525 0.044 0.034 17.0 81.0 1.91
KeqDhaB 7.489 0.205 7.118 7.993 0.008 0.006 153.0 126.0 1.8
k1DhaT 0.648 1.568 -1.151 3.222 1.013 0.828 3.0 13.0 2.24
k2DhaT 0.18 0.72 -0.828 1.87 0.262 0.193 8.0 56.0 2.0
k3DhaT 0.344 1.73 -1.322 2.958 1.169 0.972 3.0 11.0 1.99
k4DhaT -0.823 1.48 -2.157 1.585 0.957 0.783 3.0 32.0 1.83
k5DhaT 2.437 0.635 0.727 3.291 0.186 0.135 21.0 112.0 1.83
k6DhaT 0.591 0.853 -1.309 1.335 0.44 0.339 4.0 82.0 2.0
k7DhaT 2.703 0.694 0.981 3.513 0.257 0.19 12.0 67.0 1.83
KeqDhaT 3.432 0.743 2.887 4.938 0.397 0.308 5.0 71.0 1.88
k1E0 -1.601 0.677 -2.185 -0.421 0.423 0.367 3.0 15.0 2.23
k2E0 0.287 0.93 -0.675 1.725 0.62 0.513 3.0 67.0 1.87
k3E0 0.43 1.447 -1.549 1.841 0.998 0.836 3.0 56.0 1.96
k4E0 -0.468 1.694 -2.131 1.732 1.179 0.992 3.0 15.0 2.21
VmaxfDhaK -1.317 1.24 -2.562 -0.066 0.876 0.742 3.0 19.0 2.23
KmDhaK -0.096 1.928 -2.603 1.8 1.343 1.13 3.0 11.0 1.86
DHAB_INIT -1.509 0.45 -2.185 -1.086 0.302 0.25 3.0 18.0 1.96
DHAT_INIT -1.013 1.145 -2.128 0.563 0.788 0.682 3.0 70.0 2.08
E0_INIT 0.285 0.327 -0.421 1.023 0.014 0.06 207.0 76.0 1.46
NADH_NAD_TOTAL_INIT 0.095 0.52 -0.515 0.997 0.325 0.263 3.0 14.0 2.11
NADH_NAD_RATIO_INIT 0.024 0.35 -0.77 0.743 0.012 0.076 280.0 80.0 2.08
