 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.016 0.831 -5.516 -2.459 0.035 0.025 593.0 974.0 1.0
PermCellPDO -3.91 0.858 -5.575 -2.425 0.043 0.031 393.0 389.0 1.02
PermCell3HPA -4.063 0.893 -5.666 -2.37 0.04 0.028 493.0 267.0 1.03
PermCellDHA -4.027 0.888 -5.662 -2.408 0.052 0.038 316.0 440.0 1.0
k1DhaB -0.033 0.263 -0.523 0.433 0.018 0.013 186.0 412.0 1.01
k2DhaB 0.237 1.186 -1.68 2.621 0.104 0.083 145.0 82.0 1.02
k3DhaB 2.104 0.215 1.699 2.524 0.013 0.009 254.0 433.0 1.01
KeqDhaB 7.508 0.28 7.062 7.984 0.013 0.009 544.0 808.0 1.0
k1DhaT 2.635 0.491 1.762 3.596 0.039 0.028 160.0 239.0 1.01
k2DhaT 2.796 0.466 1.924 3.602 0.029 0.021 280.0 853.0 1.01
k3DhaT 3.28 0.593 2.299 4.447 0.036 0.026 283.0 342.0 1.01
k4DhaT -0.387 0.606 -1.461 0.785 0.036 0.025 298.0 774.0 1.01
k5DhaT 1.056 0.611 -0.044 2.211 0.038 0.027 236.0 288.0 1.01
k6DhaT 1.223 0.691 0.052 2.601 0.048 0.034 217.0 526.0 1.01
k7DhaT 2.161 0.549 1.205 3.156 0.043 0.031 172.0 342.0 1.0
KeqDhaT 4.539 0.345 3.901 5.0 0.017 0.013 377.0 802.0 1.0
k1DhaD 0.619 0.359 0.009 1.297 0.035 0.025 116.0 144.0 1.01
k2DhaD 1.983 0.581 0.892 3.054 0.027 0.019 473.0 702.0 1.01
k3DhaD 0.622 0.655 -0.575 1.816 0.045 0.033 230.0 527.0 1.01
k4DhaD 2.255 0.696 1.074 3.614 0.055 0.047 204.0 226.0 1.01
k5DhaD 1.477 0.328 0.868 2.074 0.014 0.01 541.0 807.0 1.01
k6DhaD 2.459 0.536 1.492 3.509 0.031 0.022 310.0 507.0 1.01
k7DhaD 1.526 0.373 0.87 2.275 0.029 0.021 177.0 288.0 1.03
KeqDhaD -3.307 0.266 -3.8 -3.0 0.011 0.008 585.0 976.0 1.0
k1E0 3.033 0.564 1.98 4.011 0.057 0.041 94.0 190.0 1.02
k2E0 1.122 0.827 -0.047 2.646 0.136 0.108 47.0 119.0 1.05
k3E0 1.301 0.786 0.183 2.918 0.131 0.103 47.0 71.0 1.06
k4E0 2.55 0.545 1.357 3.446 0.069 0.049 63.0 103.0 1.02
VmaxfDhaK 1.429 0.476 0.645 2.316 0.034 0.024 234.0 300.0 1.03
KmDhaK -2.15 0.47 -3.112 -1.348 0.022 0.016 442.0 874.0 1.01
DHAB_INIT -1.966 0.216 -2.393 -1.562 0.014 0.01 248.0 454.0 1.01
DHAT_INIT 0.939 0.056 0.836 1.0 0.006 0.004 118.0 98.0 1.01
DHAD_INIT 0.709 0.194 0.38 0.998 0.013 0.009 225.0 364.0 1.01
E0_INIT 0.406 0.283 -0.062 0.928 0.028 0.023 89.0 71.0 1.02
NADH_NAD_TOTAL_INIT 0.79 0.118 0.593 0.997 0.014 0.01 78.0 182.0 1.03
NADH_NAD_RATIO_INIT -0.032 0.46 -0.866 0.793 0.025 0.018 313.0 260.0 1.01
