 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.107 0.617 -5.411 -2.71 0.061 0.043 1406.0 86.0 2.23
PermCellPDO -4.28 0.662 -5.47 -2.758 0.179 0.129 27.0 57.0 2.23
PermCell3HPA -3.945 0.594 -5.36 -2.714 0.032 0.025 409.0 100.0 2.23
k1DhaB 1.143 1.515 -0.625 2.649 1.065 0.906 3.0 98.0 2.23
k2DhaB 0.728 0.962 -1.249 1.458 0.534 0.418 3.0 77.0 2.23
k3DhaB 2.606 0.423 1.952 3.001 0.282 0.238 3.0 143.0 2.23
KeqDhaB 7.54 0.207 7.054 7.928 0.009 0.006 612.0 105.0 2.23
k1DhaT 0.005 2.013 -1.908 2.936 1.365 1.136 3.0 2.0 2.23
k2DhaT 0.662 0.66 -0.947 1.926 0.027 0.031 660.0 89.0 2.23
k3DhaT 1.269 0.905 0.518 2.897 0.547 0.437 3.0 2.0 2.23
k4DhaT 1.636 1.305 -0.542 2.785 0.825 0.747 3.0 452.0 2.23
k5DhaT 0.235 2.009 -1.702 3.094 1.377 1.151 3.0 2.0 2.23
k6DhaT 1.55 1.578 -0.907 3.02 1.052 0.931 3.0 248.0 2.23
k7DhaT 1.909 0.699 1.036 3.528 0.268 0.198 11.0 70.0 2.23
KeqDhaT 3.994 0.513 2.995 4.999 0.019 0.014 713.0 133.0 2.23
k1E0 -1.796 0.834 -2.549 -0.417 0.539 0.475 3.0 2.0 2.24
k2E0 -0.558 1.677 -2.206 1.616 1.167 0.982 3.0 2.0 2.24
k3E0 -1.45 0.575 -1.917 -0.385 0.337 0.293 3.0 2.0 2.23
k4E0 -0.001 1.26 -1.216 1.777 0.863 0.722 3.0 2.0 2.23
VmaxfDhaK 0.689 0.381 0.221 1.066 0.267 0.227 3.0 95.0 2.23
KmDhaK 1.747 1.001 0.751 2.914 0.704 0.596 3.0 2.0 2.23
DHAB_INIT -1.45 0.462 -2.144 -1.015 0.311 0.258 3.0 200.0 2.24
DHAT_INIT -0.2 0.366 -0.529 0.583 0.189 0.146 4.0 2.0 2.23
E0_INIT -0.056 0.457 -0.465 0.94 0.244 0.189 4.0 2.0 2.27
NADH_NAD_TOTAL_INIT 0.217 0.402 -0.093 1.054 0.226 0.178 3.0 2.0 2.23
NADH_NAD_RATIO_INIT -0.507 0.637 -1.045 0.621 0.388 0.326 3.0 2.0 2.23
