 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.975 0.88 -5.56 -2.303 0.011 0.008 5514.0 2666.0 1.0
PermCellPDO -3.972 0.853 -5.501 -2.331 0.01 0.007 6514.0 2645.0 1.0
PermCell3HPA -4.01 0.893 -5.636 -2.311 0.011 0.008 6449.0 3111.0 1.0
k1DhaB 0.224 0.513 -0.689 1.23 0.01 0.007 2874.0 2948.0 1.0
k2DhaB -1.456 0.592 -2.566 -0.37 0.009 0.007 4126.0 3663.0 1.0
k3DhaB 2.248 0.23 1.825 2.688 0.003 0.002 4478.0 3437.0 1.0
k4DhaB 4.637 0.452 3.818 5.481 0.008 0.006 3342.0 2683.0 1.0
k1DhaT 3.101 0.539 2.104 4.111 0.01 0.007 2936.0 3444.0 1.0
k2DhaT 0.504 0.369 -0.205 1.19 0.008 0.006 2279.0 2632.0 1.0
k3DhaT 1.954 0.419 1.152 2.708 0.006 0.005 4223.0 3715.0 1.0
k4DhaT 1.828 0.526 0.784 2.764 0.01 0.007 3074.0 3525.0 1.0
VmaxfMetab -0.221 0.01 -0.24 -0.202 0.0 0.0 5639.0 3544.0 1.0
KmMetabG -1.996 0.519 -3.024 -1.066 0.007 0.005 6317.0 3750.0 1.0
DHAB_INIT -0.659 0.383 -1.355 0.085 0.007 0.005 3233.0 3174.0 1.0
DHAT_INIT -0.121 0.327 -0.723 0.495 0.007 0.005 2433.0 2492.0 1.0
