 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.187 0.86 -5.598 -2.483 0.159 0.114 38.0 6294.0 1.08
PermCellPDO -4.165 0.852 -5.692 -2.532 0.141 0.101 48.0 8527.0 1.06
PermCell3HPA -4.151 0.839 -5.528 -2.397 0.135 0.096 49.0 8316.0 1.06
k1DhaB -1.432 1.631 -2.631 1.763 0.715 0.537 9.0 13.0 1.47
k2DhaB 0.233 1.166 -2.126 2.645 0.019 0.061 5546.0 1492.0 1.44
k3DhaB 2.515 1.225 0.368 4.065 0.484 0.359 10.0 15.0 1.44
KeqDhaB 7.457 0.271 7.0 7.922 0.036 0.026 108.0 3491.0 1.09
k1DhaT 2.346 0.756 0.852 3.735 0.035 0.025 347.0 3677.0 1.25
k2DhaT -0.217 1.246 -2.205 1.524 0.451 0.353 10.0 30.0 1.43
k3DhaT 1.65 1.446 -0.832 3.537 0.561 0.415 9.0 11.0 1.47
KeqDhaT 3.895 0.614 3.038 5.0 0.115 0.083 43.0 2506.0 1.07
kcatfMetab 0.95 0.939 0.16 2.817 0.41 0.315 10.0 26.0 1.44
KmMetabG -1.876 0.499 -2.897 -1.09 0.095 0.068 31.0 8036.0 1.1
DHAB_INIT_50 -0.021 0.295 -0.413 0.484 0.089 0.064 12.0 69.0 1.32
DHAB_INIT_60 -0.546 0.944 -2.38 0.276 0.411 0.317 10.0 18.0 1.46
DHAB_INIT_70 -0.515 0.47 -1.344 0.055 0.187 0.154 10.0 44.0 1.44
DHAB_INIT_80 -0.764 0.716 -2.126 -0.061 0.305 0.239 10.0 23.0 1.44
DHAT_INIT_50 -0.028 0.46 -0.739 0.911 0.09 0.064 30.0 6495.0 1.1
DHAT_INIT_60 -0.148 0.585 -0.965 0.782 0.186 0.138 11.0 23.0 1.37
DHAT_INIT_70 -0.093 0.515 -0.772 0.903 0.135 0.097 15.0 4159.0 1.23
DHAT_INIT_80 0.074 0.434 -0.823 0.877 0.03 0.028 230.0 2354.0 1.17
E0_Metab_50 -0.728 0.45 -1.528 -0.198 0.18 0.145 10.0 33.0 1.44
E0_Metab_60 -0.42 0.296 -0.873 0.007 0.097 0.071 11.0 32.0 1.36
E0_Metab_70 -0.904 0.412 -1.62 -0.398 0.161 0.13 10.0 30.0 1.45
E0_Metab_80 -0.99 0.527 -1.962 -0.42 0.218 0.172 10.0 17.0 1.46
