 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.994 0.884 -5.65 -2.373 0.013 0.009 4341.0 2186.0 1.0
PermCellPDO -3.988 0.885 -5.668 -2.418 0.013 0.01 4244.0 2434.0 1.0
PermCell3HPA -4.033 0.877 -5.588 -2.369 0.012 0.008 5617.0 2426.0 1.0
k1DhaB -0.336 0.31 -0.927 0.146 0.011 0.008 1165.0 728.0 1.0
k2DhaB 0.236 1.207 -2.034 2.618 0.032 0.033 1658.0 670.0 1.0
k3DhaB 2.169 0.22 1.764 2.595 0.004 0.003 2411.0 3343.0 1.0
KeqDhaB 7.508 0.289 7.062 8.0 0.004 0.003 4751.0 2710.0 1.0
k1DhaT 2.002 0.938 0.306 3.8 0.015 0.012 4062.0 2546.0 1.0
k2DhaT 0.505 0.867 -1.088 2.143 0.013 0.012 4533.0 3419.0 1.0
k3DhaT 1.955 0.725 0.729 3.404 0.013 0.01 3519.0 2636.0 1.0
k4DhaT 0.486 0.898 -1.335 2.046 0.013 0.011 4613.0 3572.0 1.0
k5DhaT 2.13 0.795 0.593 3.565 0.013 0.01 3872.0 2452.0 1.0
k6DhaT 0.027 0.843 -1.591 1.589 0.012 0.011 4855.0 3912.0 1.0
k7DhaT 2.364 0.854 0.815 3.961 0.014 0.011 3765.0 2579.0 1.0
KeqDhaT 3.995 0.74 2.639 5.0 0.011 0.008 4703.0 3181.0 1.0
k1E0 -1.023 0.487 -1.984 -0.15 0.007 0.005 5178.0 3229.0 1.0
k2E0 1.117 0.445 0.283 1.961 0.007 0.005 4268.0 3706.0 1.0
k3E0 -1.009 0.48 -1.947 -0.121 0.006 0.005 5810.0 3709.0 1.0
k4E0 1.188 0.485 0.301 2.117 0.008 0.006 4056.0 3357.0 1.0
VmaxfDhaK 0.303 0.076 0.158 0.441 0.002 0.001 2204.0 2170.0 1.0
KmDhaK 2.729 0.133 2.473 2.971 0.003 0.002 2195.0 2093.0 1.0
DHAB_INIT -1.844 0.222 -2.267 -1.432 0.005 0.003 2367.0 3098.0 1.0
DHAT_INIT 0.078 0.384 -0.639 0.804 0.006 0.006 3782.0 3005.0 1.0
E0_INIT 0.262 0.444 -0.571 1.078 0.007 0.007 4019.0 2229.0 1.0
NADH_NAD_TOTAL_INIT 0.532 0.379 -0.193 1.228 0.007 0.006 2920.0 2065.0 1.0
NADH_NAD_RATIO_INIT -0.004 0.493 -0.939 0.915 0.007 0.008 4495.0 2678.0 1.0
