 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.0 0.881 -5.64 -2.394 0.008 0.006 10819.0 7337.0 1.0
PermCellPDO -3.994 0.877 -5.566 -2.324 0.009 0.006 9878.0 7659.0 1.0
PermCell3HPA -4.0 0.874 -5.569 -2.337 0.007 0.005 12745.0 8633.0 1.0
k1DhaB 0.497 0.583 -0.573 1.616 0.007 0.005 6481.0 8136.0 1.0
k2DhaB -0.631 0.575 -1.7 0.426 0.009 0.007 4852.0 4238.0 1.0
k3DhaB 1.48 0.476 0.568 2.378 0.006 0.004 6855.0 5274.0 1.0
k4DhaB 2.347 0.611 1.202 3.478 0.007 0.005 6806.0 7961.0 1.0
k1DhaT 1.082 0.6 0.012 2.26 0.007 0.005 7942.0 8391.0 1.0
k2DhaT -0.617 0.644 -1.829 0.574 0.009 0.006 5655.0 8135.0 1.0
k3DhaT 1.32 0.556 0.292 2.398 0.006 0.005 7598.0 9946.0 1.0
k4DhaT 1.825 0.66 0.558 3.024 0.008 0.006 6899.0 8250.0 1.0
VmaxfMetab -0.412 0.064 -0.536 -0.309 0.001 0.001 4489.0 4907.0 1.0
KmMetabG -1.996 0.499 -2.928 -1.06 0.004 0.003 14390.0 11903.0 1.0
DHAB_INIT -0.084 0.395 -0.826 0.676 0.005 0.004 6517.0 5632.0 1.0
DHAT_INIT -0.098 0.4 -0.827 0.672 0.004 0.003 8144.0 9221.0 1.0
