 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.027 0.801 -5.315 -2.343 0.056 0.04 223.0 253.0 1.01
PermCellPDO -3.977 0.897 -5.667 -2.535 0.074 0.052 163.0 292.0 1.02
PermCell3HPA -4.158 0.87 -5.946 -2.66 0.079 0.057 117.0 94.0 1.04
PermCellDHA -4.141 0.819 -5.636 -2.681 0.053 0.039 246.0 475.0 1.01
k1DhaB -1.64 1.424 -4.235 -0.086 0.885 0.714 3.0 54.0 1.8
k2DhaB 1.361 2.214 -1.503 5.783 1.069 0.814 6.0 19.0 1.27
k3DhaB 2.293 0.221 1.86 2.664 0.028 0.02 69.0 134.0 1.06
KeqDhaB 7.549 0.285 7.01 7.931 0.028 0.02 111.0 147.0 1.03
k1DhaT 2.23 0.965 0.375 4.079 0.101 0.078 101.0 93.0 1.02
k2DhaT 0.104 1.216 -2.247 1.979 0.538 0.405 6.0 42.0 1.28
k3DhaT 2.133 0.85 0.572 3.674 0.214 0.176 17.0 149.0 1.1
k4DhaT 0.08 1.117 -1.922 2.036 0.592 0.459 4.0 33.0 1.53
k5DhaT 2.354 0.927 0.842 4.151 0.298 0.218 10.0 138.0 1.17
k6DhaT -0.423 0.955 -2.345 1.095 0.299 0.232 10.0 19.0 1.14
k7DhaT 2.385 1.008 0.684 4.242 0.108 0.083 94.0 133.0 1.03
KeqDhaT 3.858 0.941 2.155 4.999 0.439 0.332 5.0 13.0 1.32
k1DhaD 0.776 0.831 -0.696 2.273 0.109 0.077 66.0 192.0 1.03
k2DhaD 1.837 0.74 0.441 3.217 0.09 0.064 69.0 47.0 1.04
k3DhaD 0.471 0.786 -0.911 2.088 0.15 0.107 25.0 204.0 1.1
k4DhaD 1.466 0.837 0.034 3.077 0.325 0.241 7.0 147.0 1.22
k5DhaD 0.381 0.492 -0.541 1.258 0.142 0.103 12.0 100.0 1.14
k6DhaD 0.012 0.798 -1.251 1.49 0.384 0.292 5.0 237.0 1.38
k7DhaD 0.337 0.501 -0.68 1.145 0.166 0.121 9.0 272.0 1.18
KeqDhaD -3.593 0.588 -4.756 -3.0 0.238 0.177 6.0 202.0 1.29
k1E0 1.228 2.083 -1.978 3.836 1.403 1.165 3.0 72.0 1.85
k2E0 -0.298 0.671 -1.273 1.177 0.195 0.142 13.0 27.0 1.14
k3E0 0.525 1.538 -2.195 2.87 0.944 0.759 3.0 41.0 1.77
k4E0 0.225 1.16 -1.825 2.303 0.62 0.481 4.0 96.0 1.54
VmaxfDhaK -0.098 1.097 -1.585 1.699 0.727 0.6 3.0 94.0 1.83
KmDhaK -2.01 0.46 -2.863 -1.054 0.042 0.032 121.0 224.0 1.03
DHAB_INIT -1.59 0.44 -2.299 -0.795 0.215 0.164 5.0 113.0 1.34
DHAT_INIT 0.055 0.467 -0.807 0.935 0.184 0.137 6.0 216.0 1.24
DHAD_INIT 0.976 0.3 0.404 1.529 0.095 0.069 10.0 84.0 1.16
E0_INIT 0.364 0.604 -0.752 1.305 0.351 0.278 3.0 30.0 1.69
NADH_NAD_TOTAL_INIT 1.355 0.315 0.832 1.936 0.141 0.106 5.0 104.0 1.32
NADH_NAD_RATIO_INIT -0.032 0.441 -0.867 0.794 0.02 0.025 434.0 658.0 1.04
