 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.016 0.878 -5.625 -2.415 0.016 0.011 2920.0 2400.0 1.0
PermCellPDO -4.002 0.886 -5.592 -2.348 0.014 0.01 3871.0 2133.0 1.0
PermCell3HPA -3.984 0.859 -5.543 -2.366 0.013 0.009 4006.0 2861.0 1.0
k1DhaB -2.216 0.254 -2.669 -1.724 0.013 0.009 399.0 898.0 1.03
k2DhaB 0.05 1.031 -1.902 1.924 0.024 0.03 2037.0 799.0 1.0
k3DhaB 3.023 0.647 1.838 4.255 0.129 0.092 23.0 97.0 1.06
KeqDhaB 7.502 0.291 7.015 7.954 0.005 0.003 3309.0 2353.0 1.0
k1DhaT 2.136 0.9 0.439 3.811 0.016 0.012 3397.0 2732.0 1.0
k2DhaT -1.036 1.185 -2.751 1.305 0.677 0.533 3.0 48.0 1.63
k3DhaT 2.5 0.811 0.992 3.993 0.175 0.126 19.0 52.0 1.07
KeqDhaT 2.859 0.855 2.0 4.627 0.398 0.301 5.0 54.0 1.31
kcatfMetab 0.694 0.526 -0.146 1.544 0.337 0.274 3.0 73.0 1.81
KmMetabG 0.626 2.645 -2.651 3.596 1.853 1.563 3.0 60.0 1.83
DHAB_INIT_50 0.047 0.244 -0.41 0.495 0.01 0.007 644.0 1345.0 1.0
DHAB_INIT_60 -0.126 0.243 -0.606 0.302 0.01 0.007 630.0 1290.0 1.0
DHAB_INIT_70 -0.291 0.247 -0.748 0.174 0.011 0.008 472.0 939.0 1.02
DHAB_INIT_80 -0.406 0.247 -0.874 0.047 0.012 0.009 394.0 943.0 1.02
DHAT_INIT_50 0.145 0.434 -0.67 0.957 0.045 0.032 87.0 102.0 1.03
DHAT_INIT_60 0.067 0.416 -0.711 0.878 0.048 0.034 83.0 82.0 1.04
DHAT_INIT_70 -0.11 0.41 -0.875 0.674 0.106 0.077 18.0 53.0 1.08
DHAT_INIT_80 -0.193 0.426 -0.965 0.653 0.131 0.095 12.0 65.0 1.11
E0_Metab_50 -0.347 0.282 -0.895 0.159 0.076 0.055 14.0 76.0 1.1
E0_Metab_60 -0.353 0.238 -0.807 0.081 0.009 0.006 786.0 1990.0 1.01
E0_Metab_70 -0.805 0.334 -1.446 -0.225 0.159 0.121 4.0 79.0 1.38
E0_Metab_80 -0.85 0.304 -1.44 -0.329 0.133 0.1 5.0 72.0 1.31
