 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.967 0.859 -5.563 -2.384 0.017 0.012 2403.0 1804.0 1.0
PermCellPDO -3.977 0.876 -5.587 -2.386 0.015 0.01 3417.0 2245.0 1.0
PermCell3HPA -4.004 0.846 -5.546 -2.409 0.014 0.01 3406.0 2150.0 1.0
PermCellDHA -3.989 0.883 -5.648 -2.445 0.018 0.013 2445.0 1827.0 1.0
k1DhaB -1.365 1.685 -4.246 0.625 1.082 0.882 3.0 85.0 1.82
k2DhaB 1.401 2.178 -1.562 5.35 0.959 0.728 7.0 55.0 1.22
k3DhaB 2.225 0.274 1.733 2.76 0.078 0.057 12.0 71.0 1.11
KeqDhaB 7.504 0.284 7.043 7.97 0.005 0.003 3684.0 2778.0 1.0
k1DhaT 2.543 1.04 0.464 4.359 0.45 0.337 6.0 57.0 1.26
k2DhaT 0.513 1.333 -1.894 2.669 0.784 0.623 3.0 60.0 1.68
k3DhaT 2.17 0.889 0.696 3.907 0.281 0.208 11.0 100.0 1.13
k4DhaT 0.559 1.353 -1.942 2.655 0.807 0.643 3.0 59.0 1.7
k5DhaT 2.409 0.866 0.815 4.095 0.029 0.063 949.0 139.0 1.03
k6DhaT -0.136 0.942 -1.88 1.664 0.311 0.227 9.0 68.0 1.15
k7DhaT 2.361 0.942 0.58 4.097 0.258 0.186 14.0 58.0 1.1
KeqDhaT 4.247 0.959 2.311 5.0 0.535 0.442 3.0 56.0 1.77
k1DhaD 1.434 0.678 0.169 2.714 0.072 0.051 87.0 240.0 1.03
k2DhaD 2.225 0.687 0.907 3.456 0.039 0.027 195.0 248.0 1.02
k3DhaD 0.85 0.713 -0.434 2.163 0.136 0.097 27.0 821.0 1.06
k4DhaD 1.659 0.683 0.363 2.895 0.197 0.143 12.0 271.0 1.12
k5DhaD 1.16 0.373 0.522 1.877 0.01 0.007 1735.0 1870.0 1.01
k6DhaD 0.132 0.435 -0.654 0.92 0.012 0.009 1438.0 1526.0 1.01
k7DhaD 1.202 0.392 0.534 1.941 0.011 0.008 1390.0 1433.0 1.01
KeqDhaD -3.12 0.173 -3.453 -3.0 0.068 0.05 5.0 54.0 1.32
k1E0 3.277 0.828 1.78 4.628 0.495 0.395 3.0 59.0 1.71
k2E0 0.513 0.918 -1.405 1.943 0.461 0.354 4.0 57.0 1.44
k3E0 1.541 0.538 0.576 2.547 0.011 0.008 2627.0 2012.0 1.0
k4E0 0.002 0.825 -1.651 1.467 0.371 0.279 5.0 57.0 1.31
VmaxfDhaK -0.694 0.531 -1.616 -0.191 0.331 0.267 3.0 50.0 1.83
KmDhaK -1.997 0.489 -2.938 -1.098 0.009 0.006 3091.0 3044.0 1.0
DHAB_INIT -1.65 0.537 -2.45 -0.576 0.271 0.211 4.0 83.0 1.41
DHAT_INIT 0.051 0.562 -0.879 0.983 0.326 0.258 3.0 61.0 1.68
DHAD_INIT 0.574 0.206 0.249 0.999 0.007 0.006 709.0 331.0 1.01
E0_INIT 0.623 0.26 0.175 0.999 0.006 0.004 1723.0 1543.0 1.0
NADH_NAD_TOTAL_INIT 0.921 0.074 0.787 1.0 0.003 0.002 504.0 1813.0 1.02
NADH_NAD_RATIO_INIT -0.037 0.454 -0.866 0.823 0.01 0.007 1827.0 1080.0 1.0
