 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -5.455 0.247 -5.85 -4.99 0.067 0.049 13.0 11.0 1.78
PermCellPDO -3.738 0.947 -4.885 -2.658 0.663 0.559 3.0 27.0 2.07
PermCell3HPA -4.16 0.291 -4.566 -3.727 0.164 0.129 3.0 37.0 1.65
PermCellDHA -4.202 0.443 -4.966 -3.571 0.282 0.231 3.0 21.0 2.29
k1DhaB -0.378 0.348 -0.773 0.001 0.244 0.206 3.0 11.0 2.2
k2DhaB 0.195 0.377 -0.534 0.765 0.252 0.208 2.0 24.0 2.44
k3DhaB 2.115 0.119 1.945 2.288 0.081 0.068 3.0 11.0 2.04
KeqDhaB 7.454 0.372 7.032 7.85 0.262 0.222 3.0 11.0 2.24
k1DhaT 1.793 0.235 1.528 2.157 0.13 0.102 3.0 6.0 1.61
k2DhaT 1.967 0.704 1.127 2.749 0.495 0.419 3.0 42.0 1.85
k3DhaT 2.582 0.358 2.071 3.251 0.221 0.178 3.0 8.0 2.04
k4DhaT -0.446 0.735 -1.322 0.508 0.514 0.434 3.0 16.0 2.12
k5DhaT 1.714 1.326 0.336 3.215 0.933 0.789 3.0 18.0 1.98
k6DhaT 0.93 0.261 0.486 1.459 0.149 0.118 3.0 24.0 1.72
k7DhaT 2.368 0.26 1.796 2.784 0.127 0.097 5.0 11.0 1.37
KeqDhaT 4.404 0.073 4.309 4.608 0.03 0.022 6.0 21.0 1.29
k1DhaD 1.503 0.592 0.817 2.167 0.417 0.353 3.0 12.0 1.9
k2DhaD 2.436 0.206 2.139 2.773 0.135 0.111 3.0 21.0 1.83
k3DhaD -0.31 0.886 -1.393 0.73 0.62 0.524 3.0 12.0 2.23
k4DhaD 1.216 0.665 0.333 1.977 0.465 0.396 3.0 11.0 2.25
k5DhaD 0.884 0.682 0.109 1.645 0.48 0.406 3.0 18.0 2.07
k6DhaD 2.02 0.64 1.229 2.805 0.446 0.377 3.0 11.0 1.87
k7DhaD 1.029 0.289 0.591 1.406 0.2 0.168 3.0 16.0 1.96
KeqDhaD -3.805 0.601 -4.518 -3.138 0.421 0.355 2.0 17.0 2.46
k1E0 0.53 1.825 -1.462 2.494 1.288 1.09 3.0 9.0 2.27
k2E0 -0.286 0.494 -0.821 0.327 0.346 0.293 3.0 18.0 1.95
k3E0 0.457 0.945 -0.627 1.476 0.664 0.561 3.0 23.0 2.12
k4E0 2.532 0.914 1.483 3.596 0.639 0.542 3.0 22.0 2.16
VmaxfDhaK 0.741 0.456 0.145 1.262 0.317 0.268 3.0 7.0 2.06
KmDhaK -2.574 0.311 -3.068 -2.143 0.2 0.163 3.0 15.0 1.9
DHAB_INIT -1.838 0.241 -2.121 -1.55 0.169 0.143 3.0 14.0 2.06
DHAT_INIT 0.595 0.336 0.192 0.954 0.237 0.201 3.0 24.0 2.18
DHAD_INIT 0.526 0.041 0.446 0.596 0.014 0.01 8.0 28.0 1.2
E0_INIT 0.287 0.229 0.029 0.538 0.161 0.137 3.0 11.0 2.15
NADH_NAD_TOTAL_INIT 0.834 0.047 0.752 0.923 0.028 0.023 3.0 15.0 1.87
NADH_NAD_RATIO_INIT 0.068 0.259 -0.384 0.486 0.168 0.138 3.0 11.0 1.91
