 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.991 0.888 -5.622 -2.322 0.01 0.007 7165.0 5508.0 1.0
PermCellPDO -3.988 0.872 -5.578 -2.338 0.01 0.007 7593.0 6228.0 1.0
PermCell3HPA -3.976 0.867 -5.558 -2.348 0.009 0.006 10621.0 12736.0 1.0
k1DhaB 0.499 0.589 -0.56 1.64 0.008 0.005 5922.0 7763.0 1.0
k2DhaB -0.612 0.567 -1.702 0.393 0.011 0.008 2791.0 3983.0 1.01
k3DhaB 1.476 0.488 0.59 2.433 0.007 0.005 4418.0 2261.0 1.0
k4DhaB 2.358 0.613 1.231 3.511 0.008 0.006 5491.0 5820.0 1.0
k1DhaT 1.11 0.61 -0.016 2.265 0.011 0.009 3023.0 1772.0 1.0
k2DhaT -0.647 0.645 -1.899 0.519 0.011 0.008 2940.0 2653.0 1.01
k3DhaT 1.343 0.561 0.261 2.364 0.01 0.007 2959.0 1868.0 1.0
k4DhaT 1.87 0.658 0.619 3.108 0.013 0.009 2571.0 3224.0 1.01
VmaxfMetab -0.406 0.06 -0.526 -0.309 0.003 0.002 366.0 1431.0 1.02
KmMetabG -2.001 0.493 -2.898 -1.052 0.005 0.004 8156.0 11168.0 1.0
DHAB_INIT -0.072 0.401 -0.846 0.66 0.007 0.005 3709.0 1199.0 1.0
DHAT_INIT -0.112 0.398 -0.852 0.635 0.005 0.004 5451.0 13727.0 1.0
