 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.083 0.902 -5.92 -2.637 0.042 0.032 455.0 169.0 1.01
PermCellPDO -4.017 0.868 -5.6 -2.413 0.033 0.023 722.0 1025.0 1.0
PermCell3HPA -4.025 0.904 -5.806 -2.511 0.069 0.049 185.0 364.0 1.02
PermCellDHA -3.936 0.905 -5.652 -2.42 0.073 0.052 155.0 404.0 1.01
k1DhaB -1.372 1.559 -4.405 0.43 1.0 0.815 3.0 15.0 1.86
k2DhaB 1.733 2.224 -1.562 5.331 1.01 0.777 6.0 96.0 1.24
k3DhaB 2.229 0.262 1.788 2.731 0.086 0.063 10.0 132.0 1.16
KeqDhaB 7.496 0.277 7.009 7.928 0.009 0.007 1041.0 1305.0 1.01
k1DhaT 2.27 0.745 0.737 3.632 0.149 0.107 31.0 64.0 1.07
k2DhaT 1.151 1.727 -1.773 3.462 1.125 0.923 3.0 57.0 1.83
k3DhaT 2.964 0.887 1.228 4.499 0.267 0.194 14.0 67.0 1.11
k4DhaT -0.473 0.737 -2.002 0.846 0.031 0.068 581.0 238.0 1.03
k5DhaT 1.841 1.064 0.129 3.841 0.516 0.393 5.0 75.0 1.37
k6DhaT 0.394 1.257 -2.045 2.475 0.691 0.54 3.0 97.0 1.56
k7DhaT 2.063 0.863 0.521 3.6 0.078 0.055 116.0 73.0 1.11
KeqDhaT 4.032 0.821 2.411 4.999 0.396 0.308 5.0 63.0 1.35
k1DhaD 0.993 0.644 -0.035 2.238 0.329 0.253 4.0 145.0 1.49
k2DhaD 2.058 0.595 0.929 3.156 0.022 0.016 735.0 1067.0 1.0
k3DhaD 0.856 0.727 -0.378 2.294 0.193 0.14 15.0 451.0 1.1
k4DhaD 1.819 0.761 0.277 3.089 0.247 0.181 10.0 288.0 1.15
k5DhaD 1.347 0.402 0.639 2.081 0.099 0.072 16.0 163.0 1.1
k6DhaD 1.322 1.221 -0.487 3.189 0.807 0.665 3.0 49.0 1.84
k7DhaD 1.359 0.405 0.616 2.119 0.111 0.081 13.0 72.0 1.11
KeqDhaD -3.261 0.246 -3.721 -3.0 0.013 0.009 250.0 225.0 1.01
k1E0 3.495 0.808 2.06 4.994 0.427 0.331 4.0 22.0 1.52
k2E0 0.483 1.046 -1.497 2.511 0.484 0.366 5.0 51.0 1.36
k3E0 1.398 0.675 0.265 2.717 0.109 0.077 35.0 88.0 1.05
k4E0 1.014 1.625 -1.603 3.507 1.063 0.872 3.0 46.0 1.86
VmaxfDhaK 0.127 1.312 -1.703 2.101 0.892 0.743 3.0 66.0 1.83
KmDhaK -2.139 0.529 -3.15 -1.235 0.055 0.044 103.0 99.0 1.04
DHAB_INIT -1.592 0.537 -2.401 -0.629 0.281 0.223 4.0 50.0 1.44
DHAT_INIT 0.275 0.731 -0.878 1.0 0.481 0.395 3.0 60.0 1.83
DHAD_INIT 0.625 0.244 0.137 0.999 0.071 0.051 15.0 47.0 1.12
E0_INIT 0.508 0.283 0.019 0.996 0.072 0.054 14.0 59.0 1.1
NADH_NAD_TOTAL_INIT 0.843 0.117 0.636 1.0 0.038 0.029 9.0 126.0 1.15
NADH_NAD_RATIO_INIT -0.021 0.461 -0.794 0.891 0.016 0.011 834.0 970.0 1.01
