 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.955 0.849 -5.534 -2.355 0.025 0.019 1383.0 1295.0 1.0
PermCellPDO -3.875 0.953 -5.515 -2.256 0.098 0.07 99.0 79.0 1.02
PermCell3HPA -4.083 0.902 -5.605 -2.246 0.049 0.035 352.0 265.0 1.01
PermCellDHA -3.989 0.861 -5.539 -2.245 0.021 0.015 1725.0 1328.0 1.01
k1DhaB -1.414 1.691 -4.101 0.63 1.113 0.916 3.0 66.0 1.82
k2DhaB 1.392 2.12 -1.675 5.217 0.956 0.72 7.0 56.0 1.24
k3DhaB 2.208 0.267 1.665 2.673 0.052 0.038 27.0 140.0 1.06
KeqDhaB 7.515 0.289 7.048 7.977 0.016 0.011 638.0 2333.0 1.01
k1DhaT 2.504 0.968 0.599 4.271 0.433 0.326 5.0 53.0 1.31
k2DhaT 0.559 1.281 -1.792 2.589 0.75 0.595 3.0 53.0 1.64
k3DhaT 2.112 0.904 0.614 3.967 0.242 0.193 16.0 81.0 1.09
k4DhaT 0.503 1.331 -1.932 2.597 0.809 0.648 3.0 54.0 1.74
k5DhaT 2.262 0.86 0.82 3.879 0.048 0.041 319.0 432.0 1.05
k6DhaT -0.232 1.062 -2.408 1.388 0.393 0.29 8.0 22.0 1.19
k7DhaT 2.395 0.948 0.521 4.11 0.258 0.186 14.0 78.0 1.1
KeqDhaT 4.16 1.043 2.133 5.0 0.597 0.495 3.0 33.0 1.82
k1DhaD 1.363 0.717 0.099 2.663 0.068 0.054 119.0 980.0 1.02
k2DhaD 2.302 0.747 1.152 3.798 0.089 0.074 92.0 56.0 1.04
k3DhaD 0.858 0.695 -0.424 2.216 0.138 0.099 26.0 193.0 1.07
k4DhaD 1.665 0.652 0.427 2.851 0.188 0.136 12.0 135.0 1.12
k5DhaD 1.121 0.375 0.468 1.813 0.019 0.013 394.0 1368.0 1.02
k6DhaD 0.063 0.441 -0.714 0.893 0.024 0.017 327.0 1238.0 1.01
k7DhaD 1.176 0.389 0.513 1.92 0.013 0.009 912.0 1795.0 1.01
KeqDhaD -3.163 0.233 -3.578 -3.0 0.1 0.075 4.0 72.0 1.45
k1E0 3.197 0.92 1.581 4.609 0.539 0.428 3.0 62.0 1.68
k2E0 0.56 0.877 -1.3 1.946 0.431 0.329 4.0 47.0 1.43
k3E0 1.588 0.535 0.601 2.595 0.021 0.016 688.0 812.0 1.01
k4E0 -0.111 0.823 -1.729 1.404 0.326 0.242 6.0 77.0 1.24
VmaxfDhaK -0.672 0.496 -1.517 -0.187 0.315 0.256 3.0 49.0 1.83
KmDhaK -1.945 0.502 -2.894 -1.057 0.036 0.025 205.0 3204.0 1.01
DHAB_INIT -1.606 0.56 -2.437 -0.594 0.31 0.249 4.0 39.0 1.54
DHAT_INIT 0.076 0.6 -0.927 1.163 0.351 0.279 3.0 51.0 1.7
DHAD_INIT 0.67 0.292 0.148 1.308 0.016 0.013 401.0 200.0 1.01
E0_INIT 0.805 0.392 0.156 1.571 0.027 0.019 209.0 1093.0 1.01
NADH_NAD_TOTAL_INIT 0.895 0.109 0.627 1.0 0.027 0.02 22.0 25.0 1.08
NADH_NAD_RATIO_INIT -0.042 0.458 -0.875 0.853 0.012 0.012 1390.0 1197.0 1.01
