Glycerol Init,Time,Glycerol,PDO,DCW
50,0,48.4239274209863,0.861642364731331,0.060301507537688
50,2,40.4828745273183,3.67672460746021,0.251256281407032
50,4,30.0208524610573,9.3489052457945,0.758793969849252
50,6,18.2983458084997,15.189150495635,1.25125628140704
50,8,4.81084950436503,23.0458598527879,1.86432160804021
60,0,57.3451166180758,1.22448979591837,0.100696991929568
60,2,50.7124635568513,3.36734693877552,0.26655355832722
60,4,40.6104227405248,7.75327988338193,0.670763022743947
60,6,30.3061224489796,12.9591836734694,1.06460931768159
60,8,14.5918367346939,20.8163265306123,1.65535583272194
70,0,72.2779071192256,1.49001347874035,0.057971014492754
70,2,63.9639750030633,4.08650900624926,0.212560386473431
70,4,55.9098149736552,9.02217865457665,0.685990338164252
70,6,48.116652371033,13.307192745987,1.05797101449275
70,8,34.21884572969,19.2807254012989,1.57971014492754
80,0,80.9160305343512,1.52671755725191,0.07949305141638
80,2,74.6564885496184,3.66412213740456,0.213319948552246
80,4,67.175572519084,7.48091603053436,0.569438780311823
80,6,58.7786259541985,11.1450381679389,0.844684255105562
80,8,47.9389312977099,16.6412213740458,1.18053769175267
