 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.151 0.646 -5.301 -2.78 0.174 0.126 13.0 81.0 1.19
PermCellPDO -3.92 0.639 -5.302 -2.484 0.024 0.017 178.0 67.0 1.67
PermCell3HPA -3.568 0.727 -5.287 -2.547 0.287 0.213 8.0 165.0 1.85
PermCellDHA -4.54 0.798 -5.431 -2.716 0.38 0.295 5.0 85.0 1.55
k1DhaB -0.013 0.369 -0.64 0.368 0.238 0.194 3.0 12.0 2.08
k2DhaB 0.196 0.712 -1.39 1.443 0.18 0.133 15.0 175.0 1.89
k3DhaB 2.354 0.164 1.949 2.653 0.047 0.034 13.0 12.0 1.75
KeqDhaB 7.471 0.2 7.055 7.896 0.009 0.006 142.0 100.0 1.51
k1DhaT 2.112 0.58 0.941 3.412 0.081 0.082 22.0 121.0 1.27
k2DhaT 1.45 0.828 -0.15 2.445 0.465 0.402 3.0 61.0 1.72
k3DhaT 2.274 0.673 0.707 2.972 0.313 0.237 7.0 50.0 1.57
k4DhaT 0.155 0.777 -0.542 1.675 0.427 0.333 3.0 35.0 1.7
k5DhaT 1.425 0.825 0.314 3.007 0.448 0.349 3.0 16.0 1.72
k6DhaT 0.477 0.685 -1.109 1.526 0.231 0.169 8.0 172.0 1.35
k7DhaT 1.766 0.815 0.94 3.685 0.398 0.303 4.0 121.0 1.9
KeqDhaT 4.57 0.325 3.975 4.998 0.021 0.015 223.0 115.0 1.64
k1DhaD -0.125 0.948 -1.018 1.643 0.56 0.446 3.0 21.0 1.81
k2DhaD 1.682 0.683 0.856 3.345 0.262 0.197 11.0 78.0 1.5
k3DhaD 0.671 0.684 -0.86 1.362 0.333 0.254 5.0 111.0 1.73
k4DhaD 2.266 0.726 0.569 3.182 0.304 0.227 8.0 151.0 1.69
k5DhaD 0.372 0.475 -0.695 0.911 0.207 0.156 6.0 112.0 1.41
k6DhaD 0.902 0.681 -0.729 1.777 0.245 0.181 9.0 115.0 1.69
k7DhaD 0.168 0.405 -0.753 0.947 0.037 0.07 64.0 141.0 1.54
KeqDhaD -3.506 0.683 -4.881 -3.0 0.346 0.265 4.0 62.0 1.81
k1E0 0.942 1.88 -1.795 2.86 1.277 1.064 3.0 34.0 1.85
k2E0 -0.205 0.439 -0.964 0.278 0.258 0.205 3.0 25.0 1.81
k3E0 0.108 0.787 -1.409 0.983 0.433 0.339 4.0 42.0 1.65
k4E0 1.497 0.748 -0.269 2.413 0.308 0.229 6.0 178.0 1.66
VmaxfDhaK 1.105 0.412 0.139 1.438 0.185 0.139 5.0 85.0 2.1
KmDhaK -2.089 0.34 -2.798 -1.325 0.018 0.014 134.0 118.0 1.56
DHAB_INIT -2.124 0.235 -2.342 -1.649 0.127 0.1 4.0 12.0 1.84
DHAT_INIT 1.034 0.759 -0.13 1.803 0.508 0.447 3.0 22.0 2.02
DHAD_INIT 1.271 0.418 0.486 1.729 0.238 0.202 3.0 19.0 1.66
E0_INIT 0.239 0.384 -0.561 0.562 0.208 0.162 4.0 44.0 1.72
NADH_NAD_TOTAL_INIT 1.37 0.264 0.72 1.733 0.095 0.07 9.0 66.0 1.74
NADH_NAD_RATIO_INIT -0.012 0.35 -0.65 0.888 0.031 0.081 116.0 153.0 1.67
