 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.897 0.904 -5.316 -2.325 0.091 0.065 116.0 198.0 1.01
PermCellPDO -4.087 0.882 -5.647 -2.582 0.113 0.08 69.0 340.0 1.04
PermCell3HPA -3.903 0.909 -5.57 -2.283 0.094 0.067 90.0 89.0 1.03
PermCellDHA -3.955 0.902 -5.518 -2.163 0.078 0.055 133.0 135.0 1.03
k1DhaB -1.548 1.698 -4.247 0.421 1.104 0.904 3.0 57.0 1.92
k2DhaB 1.528 2.038 -1.716 5.042 0.973 0.744 6.0 67.0 1.29
k3DhaB 2.212 0.254 1.784 2.687 0.072 0.052 12.0 208.0 1.14
KeqDhaB 7.485 0.289 7.0 7.939 0.027 0.019 124.0 130.0 1.04
k1DhaT 2.531 0.958 0.967 4.676 0.211 0.175 24.0 12.0 1.25
k2DhaT 1.056 1.93 -1.882 3.734 1.291 1.069 3.0 77.0 1.83
k3DhaT 2.968 0.874 1.384 4.745 0.323 0.238 7.0 63.0 1.21
k4DhaT -0.542 0.798 -1.847 0.888 0.148 0.12 28.0 93.0 1.08
k5DhaT 1.582 1.105 -0.544 3.572 0.332 0.265 13.0 17.0 1.12
k6DhaT 0.651 1.111 -1.455 2.522 0.495 0.373 5.0 27.0 1.32
k7DhaT 2.133 0.827 1.039 4.338 0.161 0.147 38.0 25.0 1.14
KeqDhaT 4.118 0.773 2.523 4.997 0.369 0.29 5.0 52.0 1.37
k1DhaD 1.029 0.658 -0.06 2.11 0.344 0.266 4.0 56.0 1.56
k2DhaD 2.141 0.62 1.07 3.314 0.068 0.052 87.0 52.0 1.03
k3DhaD 0.796 0.654 -0.303 2.218 0.13 0.093 24.0 155.0 1.09
k4DhaD 1.716 0.841 0.303 3.109 0.335 0.249 7.0 73.0 1.22
k5DhaD 1.317 0.392 0.658 2.121 0.142 0.104 8.0 50.0 1.2
k6DhaD 1.29 1.305 -0.531 3.172 0.878 0.728 3.0 51.0 1.83
k7DhaD 1.331 0.411 0.654 2.162 0.158 0.117 7.0 59.0 1.23
KeqDhaD -3.251 0.242 -3.7 -3.0 0.019 0.014 125.0 193.0 1.04
k1E0 3.528 0.643 2.329 4.589 0.346 0.269 4.0 67.0 1.52
k2E0 0.169 0.686 -1.023 1.341 0.267 0.198 8.0 44.0 1.19
k3E0 1.168 0.603 0.132 2.187 0.27 0.203 5.0 95.0 1.33
k4E0 1.092 1.685 -1.457 3.356 1.129 0.935 3.0 80.0 1.84
VmaxfDhaK 0.096 1.267 -1.684 1.955 0.862 0.718 3.0 107.0 1.84
KmDhaK -2.14 0.455 -3.011 -1.343 0.088 0.063 28.0 356.0 1.07
DHAB_INIT -1.57 0.585 -2.584 -0.568 0.307 0.248 4.0 58.0 1.5
DHAT_INIT 0.245 0.763 -0.844 1.0 0.509 0.421 3.0 53.0 1.83
DHAD_INIT 0.661 0.2 0.326 0.991 0.065 0.047 10.0 33.0 1.14
E0_INIT 0.525 0.26 0.089 0.999 0.039 0.04 32.0 127.0 1.07
NADH_NAD_TOTAL_INIT 0.858 0.092 0.713 1.0 0.013 0.009 50.0 102.0 1.04
NADH_NAD_RATIO_INIT -0.064 0.481 -0.851 0.809 0.052 0.037 85.0 61.0 1.02
