 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.999 0.886 -5.672 -2.426 0.012 0.008 5587.0 3068.0 1.0
PermCellPDO -4.017 0.877 -5.581 -2.346 0.012 0.008 5322.0 2630.0 1.0
PermCell3HPA -4.0 0.879 -5.657 -2.385 0.012 0.008 5162.0 2905.0 1.0
k1DhaB -0.362 0.701 -1.562 1.005 0.015 0.011 2082.0 3473.0 1.0
k2DhaB 1.499 1.209 -0.892 3.515 0.029 0.02 1876.0 3751.0 1.0
k3DhaB 0.745 0.515 -0.197 1.726 0.012 0.008 1999.0 3026.0 1.0
KeqDhaB 7.506 0.291 7.052 7.994 0.004 0.003 4969.0 3072.0 1.0
k1DhaT 2.198 0.897 0.584 3.899 0.012 0.009 5799.0 3838.0 1.0
k2DhaT 0.104 0.916 -1.625 1.801 0.014 0.012 4400.0 3649.0 1.0
k3DhaT 2.115 0.891 0.507 3.803 0.012 0.009 5215.0 3864.0 1.0
KeqDhaT 3.563 0.857 2.214 4.992 0.011 0.008 5029.0 2885.0 1.0
VmaxfMetab -0.077 0.01 -0.095 -0.059 0.0 0.0 2640.0 1150.0 1.0
KmMetabG -2.005 0.503 -2.983 -1.091 0.006 0.005 6240.0 4080.0 1.0
DHAB_INIT -0.527 0.515 -1.544 0.372 0.012 0.008 2005.0 3155.0 1.0
DHAT_INIT 0.097 0.481 -0.816 1.001 0.008 0.008 3955.0 2864.0 1.0
