 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.011 0.859 -5.628 -2.433 0.01 0.007 8102.0 12090.0 1.0
PermCellPDO -3.975 0.894 -5.39 -2.059 0.03 0.022 725.0 139.0 1.01
PermCell3HPA -4.037 0.89 -5.65 -2.341 0.041 0.035 358.0 108.0 1.02
k1DhaB 0.495 0.581 -0.594 1.603 0.008 0.006 5122.0 3984.0 1.0
k2DhaB -0.636 0.576 -1.674 0.452 0.018 0.017 1485.0 1044.0 1.01
k3DhaB 1.488 0.476 0.6 2.382 0.008 0.005 3910.0 6443.0 1.0
k4DhaB 2.344 0.606 1.209 3.478 0.008 0.006 5404.0 9476.0 1.0
k1DhaT 1.098 0.602 -0.056 2.201 0.01 0.007 3967.0 3684.0 1.0
k2DhaT -0.617 0.631 -1.863 0.509 0.013 0.009 2108.0 1708.0 1.01
k3DhaT 1.314 0.552 0.352 2.411 0.008 0.006 4310.0 6719.0 1.0
k4DhaT 1.836 0.649 0.583 3.035 0.01 0.007 3892.0 3764.0 1.0
VmaxfMetab -0.413 0.064 -0.54 -0.306 0.004 0.003 386.0 104.0 1.02
KmMetabG -1.996 0.501 -2.963 -1.08 0.008 0.006 4237.0 3376.0 1.0
DHAB_INIT -0.093 0.404 -0.854 0.654 0.011 0.008 1337.0 1272.0 1.01
DHAT_INIT -0.1 0.393 -0.85 0.632 0.005 0.004 6012.0 9353.0 1.0
