 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.869 0.884 -5.403 -2.303 0.092 0.065 95.0 127.0 1.01
PermCellPDO -4.168 0.897 -5.672 -2.479 0.194 0.141 27.0 187.0 1.08
PermCell3HPA -3.843 0.854 -5.374 -2.247 0.157 0.112 32.0 63.0 1.08
k1DhaB -0.295 0.25 -0.725 0.189 0.087 0.064 9.0 50.0 1.16
k2DhaB -0.307 1.095 -2.289 1.67 0.155 0.11 52.0 86.0 1.04
k3DhaB 2.138 0.215 1.73 2.482 0.054 0.039 17.0 132.0 1.09
KeqDhaB 7.534 0.281 7.069 7.987 0.04 0.029 47.0 35.0 1.05
k1DhaT 2.111 0.875 0.397 3.548 0.096 0.068 79.0 259.0 1.05
k2DhaT 0.352 0.97 -1.479 2.117 0.151 0.108 43.0 34.0 1.04
k3DhaT 1.883 0.69 0.662 3.241 0.068 0.048 97.0 60.0 1.02
k4DhaT 0.631 0.892 -1.178 2.228 0.11 0.088 66.0 101.0 1.04
k5DhaT 2.035 0.769 0.608 3.336 0.075 0.053 105.0 179.0 1.02
k6DhaT 0.002 0.834 -1.675 1.454 0.125 0.089 45.0 360.0 1.06
k7DhaT 2.528 0.772 0.994 3.848 0.155 0.111 25.0 222.0 1.08
KeqDhaT 3.928 0.74 2.485 4.997 0.066 0.047 134.0 108.0 1.02
k1E0 -1.045 0.527 -1.916 0.036 0.087 0.062 37.0 120.0 1.07
k2E0 1.074 0.471 0.217 1.974 0.079 0.062 42.0 63.0 1.08
k3E0 -1.004 0.462 -1.825 -0.195 0.048 0.034 94.0 230.0 1.0
k4E0 1.106 0.425 0.321 1.885 0.077 0.064 36.0 109.0 1.05
VmaxfDhaK 0.115 0.199 -0.099 0.398 0.136 0.114 3.0 70.0 1.91
KmDhaK 0.425 2.344 -2.54 2.996 1.639 1.382 3.0 52.0 1.88
DHAB_INIT -1.86 0.212 -2.222 -1.467 0.043 0.032 24.0 185.0 1.06
DHAT_INIT 0.026 0.351 -0.577 0.716 0.031 0.029 136.0 489.0 1.02
E0_INIT 0.236 0.446 -0.556 1.131 0.044 0.035 104.0 227.0 1.05
NADH_NAD_TOTAL_INIT 0.538 0.326 -0.104 1.085 0.032 0.022 102.0 175.0 1.03
NADH_NAD_RATIO_INIT 0.02 0.458 -0.856 0.838 0.05 0.036 86.0 401.0 1.02
