 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.993 0.882 -5.633 -2.401 0.017 0.012 2690.0 1503.0 1.0
PermCellPDO -3.989 0.863 -5.557 -2.402 0.018 0.012 2308.0 1643.0 1.0
PermCell3HPA -4.022 0.876 -5.701 -2.446 0.019 0.013 2023.0 1599.0 1.0
k1DhaB 2.252 0.858 0.7 3.861 0.019 0.015 2113.0 1599.0 1.0
k2DhaB -6.39 0.313 -6.94 -5.841 0.011 0.008 810.0 911.0 1.0
k3DhaB 2.572 0.226 2.145 2.992 0.005 0.004 1839.0 2097.0 1.0
KeqDhaB 7.141 0.138 7.0 7.398 0.003 0.002 2372.0 1931.0 1.0
k1DhaT 2.304 0.832 0.668 3.784 0.018 0.013 2181.0 2274.0 1.0
k2DhaT 0.581 0.855 -0.997 2.18 0.017 0.014 2417.0 2474.0 1.0
k3DhaT 1.971 0.775 0.604 3.494 0.016 0.012 2300.0 2281.0 1.0
k4DhaT 0.323 0.813 -1.208 1.79 0.016 0.013 2632.0 2643.0 1.0
k5DhaT 1.825 0.547 0.838 2.848 0.016 0.011 1251.0 1563.0 1.0
k6DhaT 1.582 0.612 0.421 2.685 0.018 0.013 1266.0 1586.0 1.0
k7DhaT 1.799 0.511 0.875 2.828 0.013 0.009 1733.0 1656.0 1.0
KeqDhaT 3.957 0.75 2.572 4.999 0.014 0.01 2821.0 2148.0 1.0
k1E0 -1.009 0.485 -1.893 -0.071 0.009 0.007 2888.0 2519.0 1.0
k2E0 1.226 0.418 0.511 2.06 0.009 0.007 2127.0 1963.0 1.0
k3E0 -0.998 0.509 -1.946 -0.007 0.01 0.008 2484.0 2259.0 1.0
k4E0 1.218 0.487 0.352 2.145 0.01 0.007 2601.0 2330.0 1.0
VmaxfDhaK -0.409 0.045 -0.496 -0.332 0.001 0.001 1200.0 1095.0 1.0
KmDhaK -1.991 0.491 -2.954 -1.096 0.01 0.007 2429.0 2487.0 1.0
DHAB_INIT -1.36 0.267 -1.842 -0.853 0.009 0.006 870.0 1313.0 1.0
DHAT_INIT 0.225 0.344 -0.405 0.874 0.009 0.007 1614.0 1510.0 1.0
E0_INIT 0.372 0.403 -0.348 1.142 0.008 0.007 2397.0 2092.0 1.0
NADH_NAD_TOTAL_INIT 0.767 0.322 0.169 1.373 0.009 0.007 1522.0 1169.0 1.0
NADH_NAD_RATIO_INIT -0.006 0.514 -1.03 0.901 0.012 0.01 1973.0 1598.0 1.0
