 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.922 0.806 -5.402 -2.322 0.057 0.04 201.0 189.0 1.12
PermCellPDO -3.934 0.835 -5.86 -2.632 0.052 0.042 278.0 110.0 1.18
PermCell3HPA -4.409 1.01 -5.752 -2.616 0.448 0.36 6.0 134.0 1.27
k1DhaB 2.3 0.77 0.778 3.611 0.066 0.047 152.0 417.0 1.11
k2DhaB -6.283 0.328 -6.871 -5.823 0.141 0.106 6.0 94.0 1.26
k3DhaB 2.623 0.222 2.21 2.957 0.086 0.065 7.0 279.0 1.2
KeqDhaB 7.116 0.125 7.0 7.366 0.03 0.021 22.0 315.0 1.08
k1DhaT 2.163 0.721 0.813 3.668 0.1 0.092 119.0 895.0 1.14
k2DhaT 0.219 1.08 -1.401 1.991 0.511 0.388 5.0 27.0 1.33
k3DhaT 1.973 0.683 0.669 3.347 0.054 0.041 171.0 136.0 1.18
k4DhaT 0.277 0.715 -0.988 1.822 0.03 0.092 522.0 820.0 1.16
k5DhaT 1.983 0.546 0.905 2.982 0.14 0.101 15.0 98.0 1.1
k6DhaT 1.823 0.656 0.65 3.155 0.259 0.192 7.0 42.0 1.24
k7DhaT 1.978 0.518 1.017 3.078 0.144 0.104 12.0 65.0 1.12
KeqDhaT 4.13 0.727 2.682 4.998 0.179 0.135 25.0 465.0 1.07
k1E0 -0.822 0.578 -1.713 0.03 0.262 0.198 6.0 26.0 1.28
k2E0 1.329 0.372 0.609 2.04 0.053 0.037 51.0 275.0 1.16
k3E0 -1.018 0.451 -1.818 -0.061 0.021 0.015 435.0 648.0 1.17
k4E0 1.356 0.437 0.463 2.029 0.109 0.079 19.0 392.0 1.08
VmaxfDhaK -0.409 0.043 -0.49 -0.333 0.004 0.003 168.0 195.0 1.18
KmDhaK -2.096 0.519 -2.885 -1.027 0.105 0.075 34.0 341.0 1.07
DHAB_INIT -1.438 0.27 -1.816 -0.937 0.113 0.087 6.0 200.0 1.24
DHAT_INIT 0.168 0.389 -0.333 1.047 0.125 0.091 11.0 43.0 1.17
E0_INIT 0.415 0.376 -0.282 1.141 0.06 0.043 50.0 965.0 1.08
NADH_NAD_TOTAL_INIT 0.649 0.312 0.081 1.316 0.081 0.06 16.0 48.0 1.24
NADH_NAD_RATIO_INIT 0.058 0.431 -0.834 0.816 0.028 0.02 219.0 723.0 1.04
