 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.914 0.768 -4.907 -2.562 0.455 0.362 4.0 38.0 1.6
PermCellPDO -3.707 0.492 -4.413 -2.55 0.256 0.198 4.0 11.0 1.52
PermCell3HPA -3.724 0.809 -5.195 -2.373 0.414 0.318 4.0 30.0 1.48
k1DhaB 3.135 0.664 2.201 4.185 0.415 0.336 3.0 14.0 1.77
k2DhaB -6.058 0.237 -6.397 -5.67 0.155 0.127 3.0 20.0 1.98
k3DhaB 2.401 0.251 1.972 2.701 0.171 0.144 3.0 25.0 2.33
KeqDhaB 7.078 0.054 7.022 7.2 0.026 0.02 6.0 15.0 1.26
k1DhaT 1.56 0.402 0.787 2.148 0.23 0.181 4.0 35.0 1.53
k2DhaT 0.427 0.817 -0.78 2.391 0.48 0.381 3.0 11.0 1.85
k3DhaT 2.272 0.473 1.513 3.037 0.268 0.211 3.0 19.0 1.61
k4DhaT 0.121 0.515 -0.593 0.83 0.315 0.253 4.0 40.0 1.66
k5DhaT 2.179 0.264 1.778 2.718 0.08 0.058 11.0 13.0 1.21
k6DhaT 2.028 0.631 1.22 3.093 0.406 0.34 3.0 20.0 1.83
k7DhaT 1.853 0.728 0.973 3.121 0.504 0.423 2.0 13.0 2.62
KeqDhaT 3.601 0.354 3.046 4.275 0.198 0.158 3.0 14.0 1.61
k1E0 -0.976 0.404 -1.523 -0.386 0.274 0.228 3.0 15.0 2.22
k2E0 1.15 0.292 0.812 1.708 0.191 0.159 3.0 23.0 1.84
k3E0 -0.805 0.25 -1.372 -0.427 0.091 0.067 8.0 33.0 1.26
k4E0 0.661 0.237 0.27 1.028 0.098 0.073 8.0 35.0 1.25
VmaxfDhaK -0.515 0.046 -0.598 -0.457 0.026 0.021 3.0 20.0 1.6
KmDhaK -2.092 0.183 -2.43 -1.767 0.092 0.071 4.0 17.0 1.54
DHAB_INIT -1.477 0.269 -1.812 -1.05 0.184 0.154 3.0 12.0 2.18
DHAT_INIT 0.25 0.342 -0.34 0.668 0.231 0.192 3.0 21.0 2.17
E0_INIT 0.409 0.212 0.079 0.795 0.136 0.116 3.0 15.0 2.08
NADH_NAD_TOTAL_INIT 1.094 0.162 0.775 1.35 0.092 0.073 3.0 19.0 1.77
NADH_NAD_RATIO_INIT 0.503 0.287 -0.027 1.038 0.159 0.131 3.0 11.0 1.62
