 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.067 0.8 -5.534 -2.429 0.067 0.047 195.0 2621.0 1.17
PermCellPDO -3.907 0.795 -5.542 -2.424 0.064 0.056 206.0 1880.0 1.18
PermCell3HPA -4.081 0.8 -5.539 -2.416 0.078 0.055 152.0 3473.0 1.12
k1DhaB 0.65 1.013 -0.529 2.458 0.408 0.336 9.0 17.0 1.47
k2DhaB -0.428 1.796 -2.343 2.777 0.737 0.549 9.0 25.0 1.49
k3DhaB 2.091 0.385 1.447 2.594 0.146 0.108 10.0 26.0 1.44
k4DhaB 3.314 2.562 -1.906 5.281 1.131 0.85 9.0 11.0 1.49
k1DhaT 2.269 1.794 -1.186 3.932 0.775 0.581 10.0 25.0 1.45
k2DhaT -0.311 1.481 -3.145 1.012 0.639 0.496 9.0 24.0 1.49
k3DhaT 1.13 1.724 -2.239 2.563 0.755 0.567 9.0 12.0 1.46
k4DhaT 0.942 1.899 -2.738 2.625 0.825 0.619 10.0 24.0 1.45
VmaxfMetab -0.71 0.978 -2.665 -0.206 0.437 0.329 10.0 14.0 1.47
KmMetabG -1.609 0.888 -2.726 -0.082 0.345 0.256 10.0 25.0 1.46
DHAB_INIT -0.452 0.489 -1.237 0.223 0.156 0.114 11.0 49.0 1.34
DHAT_INIT -0.104 0.403 -0.936 0.494 0.104 0.075 16.0 34.0 1.22
