 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.064 0.842 -5.626 -2.481 0.058 0.041 303.0 2022.0 1.01
PermCellPDO -4.169 0.902 -5.616 -2.49 0.19 0.141 28.0 2167.0 1.05
PermCell3HPA -4.049 0.819 -5.611 -2.482 0.014 0.01 3429.0 2097.0 1.05
PermCellDHA -4.141 0.882 -5.729 -2.531 0.141 0.1 50.0 1367.0 1.03
k1DhaB 0.197 0.303 -0.273 0.735 0.086 0.078 16.0 46.0 1.09
k2DhaB -0.804 2.451 -6.573 1.671 1.128 0.928 9.0 11.0 1.15
k3DhaB 2.193 0.309 1.75 2.853 0.11 0.086 11.0 11.0 1.14
KeqDhaB 7.439 0.317 7.005 7.94 0.079 0.057 12.0 15.0 1.11
k1DhaT 2.736 0.723 1.313 4.143 0.016 0.012 2076.0 2040.0 1.05
k2DhaT 1.298 0.609 0.221 2.515 0.021 0.03 1004.0 2287.0 1.03
k3DhaT 1.624 0.649 0.356 2.784 0.049 0.035 175.0 2033.0 1.02
k4DhaT 1.296 0.701 0.149 2.67 0.168 0.121 17.0 137.0 1.08
k5DhaT 1.978 0.816 0.682 3.402 0.217 0.157 15.0 289.0 1.09
k6DhaT 0.139 0.745 -1.209 1.615 0.014 0.052 2824.0 2698.0 1.06
k7DhaT 2.362 0.927 0.926 4.044 0.269 0.195 11.0 103.0 1.12
KeqDhaT 4.974 0.029 4.919 5.0 0.005 0.004 9.0 15.0 1.14
k1DhaD 0.663 0.801 -0.566 2.184 0.182 0.131 18.0 205.0 1.07
k2DhaD 2.264 0.753 0.905 3.426 0.189 0.146 17.0 318.0 1.08
k3DhaD 0.982 1.121 -0.432 3.396 0.446 0.393 9.0 12.0 1.15
k4DhaD 1.869 0.797 0.573 3.226 0.22 0.178 16.0 80.0 1.09
k5DhaD 0.783 0.449 -0.026 1.591 0.074 0.053 41.0 2295.0 1.04
k6DhaD -0.077 0.509 -1.051 0.788 0.074 0.052 54.0 2571.0 1.04
k7DhaD 0.723 0.465 -0.04 1.64 0.074 0.053 41.0 2824.0 1.04
KeqDhaD -3.025 0.026 -3.074 -3.0 0.005 0.003 13.0 62.0 1.11
k1E0 1.889 0.563 0.846 3.0 0.012 0.009 2130.0 2277.0 1.07
k2E0 0.756 0.504 -0.196 1.722 0.01 0.008 2568.0 2959.0 1.09
k3E0 1.206 0.596 0.305 2.418 0.117 0.084 27.0 2617.0 1.05
k4E0 -0.188 0.613 -1.319 0.959 0.052 0.037 220.0 2703.0 1.02
VmaxfDhaK -0.248 0.026 -0.295 -0.205 0.007 0.005 20.0 413.0 1.07
KmDhaK -2.031 0.482 -2.924 -1.089 0.014 0.01 1177.0 3194.0 1.01
DHAB_INIT -2.048 0.24 -2.405 -1.587 0.053 0.041 24.0 1229.0 1.07
DHAT_INIT 0.724 0.317 0.088 1.318 0.008 0.007 1494.0 1788.0 1.03
DHAD_INIT 1.043 0.271 0.55 1.573 0.006 0.004 2006.0 2304.0 1.05
E0_INIT 0.872 0.387 0.117 1.464 0.088 0.069 22.0 1571.0 1.07
NADH_NAD_TOTAL_INIT 1.666 0.222 1.297 1.999 0.062 0.048 12.0 413.0 1.11
NADH_NAD_RATIO_INIT 0.007 0.48 -0.91 0.946 0.009 0.022 3109.0 2195.0 1.06
