 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.013 0.893 -5.648 -2.375 0.025 0.02 1229.0 173.0 1.0
PermCellPDO -3.999 0.866 -5.551 -2.41 0.018 0.013 2195.0 948.0 1.0
PermCell3HPA -3.98 0.889 -5.65 -2.364 0.022 0.015 1535.0 833.0 1.0
k1DhaB -2.2 0.265 -2.713 -1.758 0.014 0.01 387.0 370.0 1.01
k2DhaB 0.014 1.047 -1.952 1.797 0.04 0.039 796.0 642.0 1.01
k3DhaB 3.015 0.66 1.896 4.34 0.134 0.096 22.0 87.0 1.07
KeqDhaB 7.496 0.303 7.033 7.983 0.007 0.005 1470.0 382.0 1.0
k1DhaT 2.145 0.921 0.524 3.947 0.022 0.018 1825.0 1080.0 1.0
k2DhaT -1.005 1.211 -2.879 1.292 0.697 0.551 3.0 98.0 1.64
k3DhaT 2.482 0.819 0.953 3.984 0.145 0.103 26.0 111.0 1.06
KeqDhaT 2.874 0.854 2.0 4.603 0.406 0.309 5.0 111.0 1.36
kcatfMetab 0.67 0.545 -0.219 1.533 0.347 0.283 3.0 139.0 1.81
KmMetabG 0.619 2.64 -2.669 3.567 1.844 1.554 3.0 104.0 1.83
DHAB_INIT_50 0.034 0.25 -0.438 0.52 0.01 0.007 607.0 646.0 1.01
DHAB_INIT_60 -0.142 0.249 -0.593 0.355 0.01 0.007 598.0 666.0 1.0
DHAB_INIT_70 -0.306 0.254 -0.786 0.189 0.016 0.011 256.0 722.0 1.03
DHAB_INIT_80 -0.422 0.256 -0.884 0.099 0.019 0.014 167.0 735.0 1.04
DHAT_INIT_50 0.141 0.428 -0.673 0.93 0.037 0.026 124.0 147.0 1.03
DHAT_INIT_60 0.097 0.42 -0.84 0.794 0.031 0.022 236.0 301.0 1.05
DHAT_INIT_70 -0.096 0.433 -0.859 0.772 0.105 0.076 20.0 193.0 1.08
DHAT_INIT_80 -0.196 0.414 -0.9 0.656 0.118 0.085 14.0 112.0 1.1
E0_Metab_50 -0.337 0.289 -0.879 0.22 0.06 0.043 25.0 591.0 1.07
E0_Metab_60 -0.333 0.245 -0.767 0.143 0.008 0.006 900.0 1016.0 1.01
E0_Metab_70 -0.794 0.329 -1.368 -0.163 0.147 0.111 5.0 92.0 1.32
E0_Metab_80 -0.83 0.294 -1.409 -0.318 0.117 0.087 6.0 275.0 1.23
