 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.991 0.868 -5.586 -2.37 0.005 0.003 32910.0 21623.0 1.0
PermCellPDO -3.993 0.872 -5.602 -2.373 0.005 0.004 26989.0 18505.0 1.0
PermCell3HPA -3.98 0.879 -5.553 -2.295 0.005 0.003 34116.0 20457.0 1.0
k1DhaB 0.621 0.569 -0.42 1.718 0.004 0.003 18567.0 22827.0 1.0
k2DhaB -0.691 0.684 -1.992 0.523 0.005 0.004 16575.0 17369.0 1.0
k3DhaB 2.309 0.238 1.866 2.756 0.001 0.001 27614.0 28853.0 1.0
k4DhaB 2.865 0.509 1.943 3.833 0.003 0.003 22083.0 20214.0 1.0
k1DhaT 1.648 0.562 0.618 2.719 0.004 0.003 21726.0 23288.0 1.0
k2DhaT 0.368 0.4 -0.394 1.112 0.003 0.003 17630.0 15786.0 1.0
k3DhaT 1.75 0.407 1.002 2.528 0.003 0.002 23905.0 19476.0 1.0
k4DhaT 2.167 0.545 1.132 3.178 0.004 0.003 21280.0 19540.0 1.0
VmaxfMetab -0.445 0.058 -0.551 -0.338 0.0 0.0 17522.0 14077.0 1.0
KmMetabG -2.003 0.503 -2.961 -1.071 0.002 0.002 42998.0 27276.0 1.0
DHAB_INIT -0.571 0.386 -1.27 0.162 0.003 0.002 18975.0 23785.0 1.0
DHAT_INIT -0.671 0.311 -1.245 -0.074 0.002 0.002 20754.0 22504.0 1.0
