 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.009 0.865 -5.58 -2.411 0.016 0.012 2688.0 1713.0 1.0
PermCellPDO -4.006 0.886 -5.65 -2.391 0.02 0.014 1905.0 1393.0 1.0
PermCell3HPA -3.979 0.912 -5.65 -2.293 0.018 0.013 2339.0 1266.0 1.0
k1DhaB -0.21 0.305 -0.774 0.334 0.113 0.084 7.0 529.0 1.22
k2DhaB 0.167 1.091 -1.998 2.15 0.028 0.026 1559.0 962.0 1.0
k3DhaB 2.165 0.216 1.775 2.577 0.008 0.006 735.0 1310.0 1.01
KeqDhaB 7.5 0.292 7.0 7.946 0.005 0.003 3421.0 1988.0 1.0
k1DhaT 1.974 0.918 0.283 3.681 0.016 0.012 3419.0 2868.0 1.0
k2DhaT 0.505 0.886 -1.187 2.157 0.021 0.018 1728.0 1489.0 1.0
k3DhaT 1.938 0.713 0.666 3.321 0.016 0.012 2081.0 1634.0 1.0
k4DhaT 0.484 0.864 -1.159 2.122 0.017 0.014 2525.0 1834.0 1.0
k5DhaT 2.124 0.777 0.756 3.642 0.019 0.014 1734.0 2113.0 1.0
k6DhaT 0.01 0.855 -1.572 1.695 0.019 0.014 1978.0 1776.0 1.0
k7DhaT 2.35 0.839 0.866 3.968 0.019 0.015 2148.0 2197.0 1.0
KeqDhaT 3.999 0.752 2.586 5.0 0.016 0.011 2117.0 1894.0 1.0
k1E0 -1.013 0.499 -1.962 -0.07 0.01 0.008 2484.0 2038.0 1.0
k2E0 1.134 0.449 0.31 1.966 0.01 0.007 2266.0 1976.0 1.0
k3E0 -0.994 0.51 -1.982 -0.084 0.01 0.007 2536.0 1839.0 1.0
k4E0 1.194 0.47 0.349 2.106 0.011 0.008 1844.0 2101.0 1.0
VmaxfDhaK 0.116 0.2 -0.099 0.404 0.137 0.115 3.0 67.0 1.83
KmDhaK 0.374 2.396 -2.617 3.036 1.676 1.413 3.0 65.0 1.83
DHAB_INIT -1.893 0.219 -2.286 -1.465 0.012 0.008 335.0 1115.0 1.02
DHAT_INIT 0.097 0.401 -0.687 0.802 0.013 0.012 1079.0 713.0 1.0
E0_INIT 0.252 0.426 -0.547 1.057 0.01 0.008 2004.0 1426.0 1.0
NADH_NAD_TOTAL_INIT 0.544 0.386 -0.18 1.233 0.011 0.009 1369.0 1059.0 1.0
NADH_NAD_RATIO_INIT -0.002 0.491 -0.882 0.951 0.011 0.008 2012.0 2264.0 1.0
