 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.871 0.659 -4.923 -2.389 0.16 0.115 36.0 38.0 2.09
PermCellPDO -4.63 0.804 -5.756 -2.994 0.319 0.237 9.0 13.0 2.06
PermCell3HPA -3.756 0.597 -5.241 -2.784 0.173 0.136 16.0 58.0 2.19
k1DhaB 1.233 1.305 -0.571 2.498 0.899 0.778 3.0 26.0 1.9
k2DhaB 1.266 0.669 0.093 1.849 0.425 0.379 3.0 19.0 2.24
k3DhaB 2.64 0.416 1.994 3.027 0.277 0.234 3.0 15.0 2.18
k4DhaB 1.555 2.552 -0.975 4.648 1.79 1.511 3.0 47.0 1.96
k1DhaT 3.31 0.35 2.564 3.936 0.056 0.05 31.0 50.0 1.91
k2DhaT 0.072 0.64 -0.862 0.677 0.432 0.359 3.0 30.0 2.16
k3DhaT 1.437 0.637 0.854 2.447 0.422 0.347 3.0 52.0 2.2
k4DhaT -0.946 3.058 -3.991 2.586 2.152 1.82 3.0 45.0 2.14
VmaxfMetab 1.708 1.927 -0.231 3.636 1.361 1.153 3.0 29.0 2.17
KmMetabG -1.473 0.627 -2.568 -0.941 0.386 0.31 3.0 56.0 2.09
DHAB_INIT -0.067 0.312 -0.707 0.305 0.155 0.119 4.0 50.0 1.46
DHAT_INIT 0.451 1.297 -1.183 1.992 0.906 0.764 3.0 15.0 2.24
