 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.843 0.732 -5.386 -2.47 0.062 0.051 134.0 679.0 1.16
PermCellPDO -4.394 0.874 -5.576 -2.543 0.307 0.226 12.0 235.0 1.25
PermCell3HPA -4.131 0.763 -5.576 -2.471 0.115 0.082 64.0 416.0 1.13
k1DhaB -0.113 0.545 -0.842 0.91 0.26 0.197 4.0 49.0 1.4
k2DhaB -0.237 1.345 -2.181 1.562 0.904 0.75 3.0 13.0 2.22
k3DhaB 2.232 0.194 1.83 2.635 0.007 0.005 405.0 397.0 1.24
k4DhaB 3.95 0.928 2.383 5.21 0.581 0.47 3.0 23.0 1.78
k1DhaT 3.114 0.413 2.276 3.988 0.011 0.008 671.0 121.0 1.23
k2DhaT -0.047 0.626 -0.92 1.033 0.404 0.33 3.0 16.0 2.0
k3DhaT 1.949 0.323 1.292 2.609 0.036 0.033 37.0 66.0 1.19
k4DhaT 1.812 0.413 1.075 2.731 0.075 0.058 24.0 69.0 1.16
VmaxfMetab -0.228 0.013 -0.245 -0.207 0.007 0.005 4.0 44.0 1.45
KmMetabG -1.865 0.464 -2.834 -1.07 0.142 0.104 11.0 89.0 1.12
DHAB_INIT -0.471 0.34 -1.27 0.063 0.13 0.101 8.0 58.0 1.31
DHAT_INIT -0.514 0.457 -1.15 0.268 0.28 0.234 3.0 27.0 1.78
