 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.877 0.373 -4.206 -3.189 0.25 0.209 3.0 14.0 2.16
PermCellPDO -4.753 0.281 -5.318 -4.193 0.14 0.107 4.0 13.0 1.87
PermCell3HPA -4.645 0.436 -5.412 -4.308 0.248 0.195 4.0 15.0 2.22
k1DhaB 0.51 0.868 -0.353 1.593 0.608 0.513 2.0 12.0 2.44
k2DhaB -2.891 3.703 -6.836 0.82 2.615 2.215 2.0 14.0 2.66
k3DhaB 2.229 0.133 1.974 2.433 0.087 0.072 2.0 12.0 2.48
KeqDhaB 7.266 0.179 7.059 7.444 0.126 0.107 3.0 25.0 2.4
k1DhaT 2.2 0.531 1.317 3.126 0.309 0.245 3.0 18.0 1.73
k2DhaT 1.865 0.286 1.486 2.568 0.178 0.143 3.0 19.0 2.17
k3DhaT -0.149 0.959 -1.1 1.015 0.675 0.57 3.0 19.0 2.09
k4DhaT -1.621 1.332 -2.947 -0.123 0.938 0.796 3.0 17.0 2.25
k5DhaT 1.024 1.795 -0.769 3.034 1.265 1.071 2.0 11.0 2.42
k6DhaT 0.155 2.652 -2.492 3.133 1.872 1.586 2.0 11.0 3.01
k7DhaT 1.743 0.542 1.216 2.512 0.377 0.318 3.0 12.0 2.29
KeqDhaT 0.805 0.664 0.152 1.722 0.465 0.392 2.0 13.0 2.62
k1E0 -0.615 0.714 -1.447 0.096 0.503 0.425 3.0 13.0 2.28
k2E0 1.316 0.54 0.609 1.847 0.379 0.322 2.0 20.0 2.56
k3E0 -0.684 0.554 -1.542 -0.157 0.382 0.32 2.0 11.0 2.49
k4E0 1.888 0.466 1.132 2.329 0.323 0.274 2.0 13.0 2.8
VmaxfDhaK 0.483 0.869 -0.404 1.356 0.613 0.52 3.0 11.0 2.22
KmDhaK -1.293 0.318 -1.552 -0.693 0.209 0.174 3.0 11.0 2.15
DHAB_INIT -1.718 0.596 -2.305 -0.894 0.419 0.355 2.0 13.0 2.47
DHAT_INIT -0.446 0.43 -0.855 0.187 0.301 0.257 2.0 11.0 2.52
E0_INIT -0.565 1.512 -2.076 1.008 1.067 0.904 3.0 12.0 2.1
NADH_NAD_TOTAL_INIT 0.148 0.614 -0.431 1.175 0.42 0.351 3.0 11.0 2.04
NADH_NAD_RATIO_INIT -0.096 0.163 -0.236 0.184 0.101 0.082 3.0 34.0 1.92
