 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.832 0.838 -5.414 -2.358 0.197 0.142 20.0 155.0 1.08
PermCellPDO -4.182 0.925 -5.901 -2.758 0.173 0.137 28.0 28.0 1.07
PermCell3HPA -4.053 0.877 -5.681 -2.58 0.093 0.067 98.0 361.0 1.02
PermCellDHA -4.174 0.858 -5.553 -2.595 0.131 0.093 49.0 115.0 1.04
k1DhaB -0.102 0.197 -0.392 0.309 0.047 0.034 21.0 194.0 1.13
k2DhaB 0.058 0.967 -1.8 1.647 0.12 0.086 115.0 442.0 1.04
k3DhaB 2.111 0.183 1.804 2.462 0.024 0.019 64.0 177.0 1.09
KeqDhaB 7.421 0.305 7.006 7.94 0.083 0.06 17.0 132.0 1.09
k1DhaT 2.654 0.576 1.799 3.95 0.114 0.083 27.0 31.0 1.11
k2DhaT 2.709 0.439 1.849 3.39 0.083 0.059 27.0 253.0 1.08
k3DhaT 3.385 0.635 2.298 4.445 0.098 0.072 44.0 212.0 1.04
k4DhaT -0.271 0.606 -1.276 0.919 0.081 0.057 55.0 249.0 1.02
k5DhaT 1.148 0.668 -0.204 2.305 0.108 0.077 38.0 32.0 1.06
k6DhaT 1.232 0.691 -0.091 2.504 0.098 0.07 50.0 41.0 1.02
k7DhaT 2.125 0.495 1.256 3.057 0.12 0.09 20.0 327.0 1.08
KeqDhaT 4.556 0.313 4.023 4.999 0.026 0.019 103.0 270.0 1.04
k1DhaD 0.607 0.326 -0.049 1.215 0.027 0.019 142.0 293.0 1.05
k2DhaD 2.337 0.757 1.042 3.536 0.361 0.309 4.0 27.0 1.43
k3DhaD 0.858 0.728 -0.353 2.135 0.321 0.252 6.0 94.0 1.28
k4DhaD 2.074 0.688 0.979 3.515 0.082 0.062 79.0 86.0 1.06
k5DhaD 1.47 0.336 0.934 2.151 0.044 0.036 75.0 183.0 1.08
k6DhaD 2.424 0.483 1.478 3.297 0.041 0.029 139.0 705.0 1.04
k7DhaD 1.508 0.351 0.908 2.202 0.042 0.03 72.0 195.0 1.04
KeqDhaD -3.299 0.258 -3.808 -3.0 0.036 0.026 61.0 212.0 1.02
k1E0 2.898 0.593 1.921 4.094 0.218 0.162 8.0 147.0 1.2
k2E0 1.58 0.93 0.037 2.876 0.419 0.316 6.0 154.0 1.25
k3E0 1.604 0.873 0.198 3.007 0.427 0.326 5.0 59.0 1.39
k4E0 2.246 0.554 1.33 3.353 0.15 0.108 15.0 193.0 1.12
VmaxfDhaK 1.21 0.425 0.63 2.043 0.06 0.045 73.0 247.0 1.05
KmDhaK -2.206 0.395 -2.992 -1.487 0.024 0.018 259.0 758.0 1.05
DHAB_INIT -1.968 0.185 -2.335 -1.677 0.033 0.025 34.0 158.0 1.11
DHAT_INIT 0.943 0.066 0.842 1.0 0.011 0.008 119.0 49.0 1.08
DHAD_INIT 0.735 0.216 0.34 0.999 0.061 0.05 11.0 186.0 1.13
E0_INIT 0.491 0.258 0.107 0.975 0.046 0.041 31.0 43.0 1.1
NADH_NAD_TOTAL_INIT 0.769 0.133 0.539 0.997 0.05 0.038 7.0 41.0 1.24
NADH_NAD_RATIO_INIT 0.041 0.451 -0.734 0.87 0.118 0.085 14.0 37.0 1.1
