 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.983 0.856 -5.603 -2.31 0.024 0.017 1116.0 522.0 1.03
PermCellPDO -4.175 0.944 -5.705 -2.441 0.25 0.193 16.0 209.0 1.09
PermCell3HPA -4.032 0.852 -5.612 -2.479 0.058 0.042 255.0 1792.0 1.01
PermCellDHA -4.082 0.884 -5.514 -2.261 0.141 0.1 48.0 932.0 1.04
k1DhaB -1.281 1.837 -4.136 1.203 1.204 0.989 3.0 32.0 1.98
k2DhaB 1.788 2.106 -1.705 5.178 0.769 0.598 8.0 55.0 1.18
k3DhaB 2.192 0.288 1.656 2.695 0.112 0.083 7.0 53.0 1.22
KeqDhaB 7.458 0.288 7.058 7.985 0.054 0.039 43.0 2190.0 1.04
k1DhaT 2.669 1.121 0.672 4.661 0.542 0.413 4.0 54.0 1.38
k2DhaT 0.541 1.336 -1.894 2.484 0.806 0.645 3.0 48.0 1.69
k3DhaT 2.081 0.929 0.648 3.936 0.358 0.265 7.0 55.0 1.19
k4DhaT 0.451 1.323 -2.008 2.547 0.788 0.628 3.0 36.0 1.72
k5DhaT 2.38 0.841 0.739 4.069 0.02 0.071 1485.0 85.0 1.13
k6DhaT -0.205 0.904 -1.928 1.538 0.22 0.159 17.0 60.0 1.08
k7DhaT 2.29 0.925 0.47 4.004 0.234 0.168 16.0 59.0 1.09
KeqDhaT 4.24 0.953 2.342 5.0 0.536 0.443 3.0 41.0 1.77
k1DhaD 1.353 0.648 0.276 2.623 0.147 0.105 19.0 1724.0 1.07
k2DhaD 2.114 0.649 0.985 3.365 0.061 0.043 115.0 1937.0 1.02
k3DhaD 0.934 0.664 -0.385 2.148 0.106 0.076 40.0 289.0 1.04
k4DhaD 1.787 0.739 0.528 3.018 0.296 0.22 7.0 70.0 1.22
k5DhaD 1.147 0.363 0.534 1.82 0.033 0.023 113.0 305.0 1.02
k6DhaD 0.072 0.447 -0.679 0.939 0.077 0.055 31.0 130.0 1.06
k7DhaD 1.179 0.37 0.526 1.868 0.018 0.013 474.0 1076.0 1.02
KeqDhaD -3.135 0.19 -3.494 -3.0 0.078 0.058 5.0 47.0 1.35
k1E0 3.34 0.804 1.917 4.754 0.48 0.383 3.0 28.0 1.76
k2E0 0.482 0.955 -1.482 1.979 0.502 0.388 4.0 57.0 1.5
k3E0 1.495 0.529 0.474 2.443 0.031 0.026 353.0 2447.0 1.02
k4E0 -0.002 0.786 -1.661 1.26 0.357 0.269 5.0 49.0 1.31
VmaxfDhaK -0.685 0.512 -1.547 -0.196 0.327 0.266 3.0 47.0 1.83
KmDhaK -2.034 0.492 -2.974 -1.168 0.043 0.032 136.0 923.0 1.02
DHAB_INIT -1.592 0.524 -2.396 -0.554 0.268 0.21 4.0 70.0 1.43
DHAT_INIT 0.029 0.539 -0.906 0.929 0.316 0.251 3.0 36.0 1.7
DHAD_INIT 0.587 0.207 0.206 0.945 0.043 0.034 24.0 383.0 1.07
E0_INIT 0.623 0.252 0.188 0.998 0.008 0.007 926.0 2830.0 1.0
NADH_NAD_TOTAL_INIT 0.919 0.073 0.786 1.0 0.004 0.003 925.0 1451.0 1.04
NADH_NAD_RATIO_INIT -0.06 0.45 -0.841 0.851 0.023 0.016 414.0 2052.0 1.01
