 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.582 0.454 -4.09 -3.13 0.319 0.27 3.0 19.0 1.93
PermCellPDO -3.985 0.405 -4.389 -3.52 0.285 0.241 3.0 16.0 2.03
PermCell3HPA -3.681 0.625 -4.285 -2.823 0.44 0.372 2.0 10.0 2.41
PermCellDHA -4.246 0.09 -4.331 -4.108 0.062 0.052 3.0 11.0 2.04
k1DhaB 0.192 0.298 -0.116 0.49 0.211 0.178 3.0 11.0 2.27
k2DhaB 0.728 0.693 -0.118 1.46 0.488 0.414 2.0 11.0 2.66
k3DhaB 1.61 0.389 1.221 2.009 0.275 0.233 3.0 15.0 2.29
KeqDhaB 7.282 0.258 7.012 7.541 0.182 0.155 3.0 12.0 2.16
k1DhaT 1.135 2.037 -0.897 3.469 1.438 1.217 2.0 16.0 2.91
k2DhaT 0.252 1.98 -1.728 2.249 1.399 1.185 3.0 13.0 2.35
k3DhaT 2.338 0.301 1.95 2.632 0.21 0.177 3.0 29.0 2.09
k4DhaT 0.924 1.769 -0.98 2.692 1.249 1.058 2.0 12.0 3.11
k5DhaT -1.349 1.903 -3.252 0.562 1.344 1.138 3.0 12.0 2.23
k6DhaT -0.012 0.422 -0.432 0.477 0.297 0.252 3.0 12.0 2.17
k7DhaT -0.514 2.545 -3.058 2.065 1.797 1.522 2.0 13.0 2.63
KeqDhaT 4.272 0.321 3.957 4.69 0.224 0.188 2.0 3.0 2.39
k1DhaD -0.184 0.492 -0.675 0.358 0.347 0.294 2.0 2.0 2.79
k2DhaD 2.499 0.189 2.311 2.695 0.133 0.113 2.0 16.0 2.39
k3DhaD 0.16 0.659 -0.498 0.913 0.465 0.393 3.0 11.0 2.4
k4DhaD 0.196 0.736 -0.537 1.001 0.518 0.438 3.0 11.0 1.93
k5DhaD 0.691 0.61 0.083 1.396 0.43 0.364 2.0 12.0 2.6
k6DhaD 2.258 0.504 1.678 2.76 0.355 0.301 3.0 21.0 2.02
k7DhaD -0.204 1.148 -1.352 0.95 0.811 0.687 3.0 13.0 2.16
KeqDhaD -3.928 0.827 -4.755 -3.093 0.584 0.495 3.0 11.0 2.22
k1E0 1.852 1.185 0.668 3.055 0.837 0.709 3.0 15.0 1.96
k2E0 -0.272 2.384 -2.655 2.164 1.683 1.425 3.0 8.0 2.24
k3E0 2.331 0.132 2.114 2.455 0.092 0.077 2.0 21.0 2.51
k4E0 1.618 0.253 1.365 1.889 0.179 0.151 3.0 13.0 2.12
VmaxfDhaK 1.394 0.161 1.198 1.553 0.113 0.096 3.0 12.0 1.86
KmDhaK -0.722 1.688 -2.472 0.965 1.192 1.01 2.0 20.0 2.56
DHAB_INIT -1.414 0.481 -1.901 -0.933 0.34 0.288 2.0 24.0 2.38
DHAT_INIT -0.45 1.917 -2.366 1.48 1.353 1.146 3.0 21.0 2.18
DHAD_INIT 0.779 0.644 0.136 1.445 0.454 0.385 3.0 10.0 2.1
E0_INIT -0.735 1.636 -2.37 0.985 1.155 0.978 3.0 16.0 2.05
NADH_NAD_TOTAL_INIT -0.023 1.004 -1.027 0.983 0.709 0.601 2.0 12.0 2.62
NADH_NAD_RATIO_INIT -0.699 0.938 -1.636 0.283 0.662 0.561 3.0 15.0 1.91
