 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.92 0.774 -5.162 -2.777 0.447 0.354 3.0 20.0 1.59
PermCellPDO -4.039 1.009 -5.368 -2.317 0.583 0.461 4.0 37.0 1.51
PermCell3HPA -4.311 0.669 -5.377 -3.27 0.374 0.302 4.0 29.0 1.53
PermCellDHA -4.094 0.662 -5.299 -3.052 0.18 0.132 14.0 51.0 1.15
k1DhaB -1.496 1.94 -4.098 0.606 1.363 1.151 3.0 17.0 2.2
k2DhaB 0.748 1.42 -1.844 2.639 0.85 0.678 3.0 21.0 1.72
k3DhaB 2.395 0.162 2.139 2.753 0.073 0.055 4.0 22.0 1.44
KeqDhaB 7.664 0.212 7.229 7.979 0.078 0.058 8.0 29.0 1.3
k1DhaT 1.725 0.713 -0.461 2.367 0.325 0.246 4.0 12.0 1.46
k2DhaT 1.737 1.432 -0.616 3.293 0.973 0.841 3.0 23.0 2.11
k3DhaT 3.015 0.77 1.455 4.461 0.169 0.162 11.0 11.0 1.85
k4DhaT -0.911 0.513 -1.593 0.06 0.194 0.143 7.0 37.0 1.28
k5DhaT 1.472 1.362 -0.314 3.65 0.872 0.711 3.0 56.0 1.84
k6DhaT -0.114 0.683 -0.958 1.356 0.349 0.268 4.0 13.0 1.52
k7DhaT 2.234 0.564 1.358 3.334 0.273 0.217 4.0 25.0 1.4
KeqDhaT 4.09 0.83 2.241 4.678 0.529 0.433 3.0 19.0 2.07
k1DhaD 0.548 0.743 -0.469 2.123 0.424 0.334 3.0 18.0 1.84
k2DhaD 1.845 0.391 1.136 2.597 0.141 0.103 7.0 14.0 1.4
k3DhaD 0.743 0.921 -0.376 2.343 0.632 0.529 3.0 15.0 2.21
k4DhaD 1.593 0.609 0.555 2.709 0.351 0.295 3.0 18.0 1.66
k5DhaD 1.152 0.243 0.784 1.479 0.159 0.131 3.0 48.0 1.94
k6DhaD 0.821 1.099 -0.501 2.536 0.756 0.633 3.0 13.0 1.84
k7DhaD 1.018 0.354 0.627 1.715 0.211 0.172 4.0 19.0 1.55
KeqDhaD -3.131 0.164 -3.432 -3.003 0.069 0.052 4.0 11.0 1.4
k1E0 3.395 0.464 2.668 4.135 0.287 0.232 3.0 30.0 1.74
k2E0 0.232 1.009 -1.791 1.179 0.59 0.481 4.0 21.0 1.79
k3E0 1.483 0.384 0.68 2.198 0.136 0.1 8.0 13.0 1.32
k4E0 1.35 1.686 -1.355 3.444 1.11 0.945 3.0 16.0 1.86
VmaxfDhaK 0.403 1.294 -1.141 1.964 0.903 0.761 3.0 33.0 1.98
KmDhaK -2.179 0.258 -2.591 -1.619 0.07 0.052 11.0 40.0 1.16
DHAB_INIT -2.117 0.417 -2.718 -1.287 0.266 0.216 3.0 20.0 1.97
DHAT_INIT 0.419 1.025 -1.031 1.575 0.705 0.591 3.0 18.0 2.24
DHAD_INIT 0.991 0.246 0.55 1.453 0.138 0.108 3.0 15.0 1.66
E0_INIT 0.404 0.421 -0.15 1.077 0.284 0.235 3.0 12.0 2.0
NADH_NAD_TOTAL_INIT 0.97 0.039 0.882 0.998 0.016 0.012 10.0 36.0 1.53
NADH_NAD_RATIO_INIT -0.014 0.521 -0.834 0.883 0.254 0.195 4.0 21.0 1.38
