 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.987 0.871 -5.596 -2.352 0.006 0.005 17778.0 9878.0 1.0
PermCellPDO -3.994 0.865 -5.639 -2.414 0.006 0.005 17806.0 11494.0 1.0
PermCell3HPA -3.97 0.869 -5.567 -2.343 0.007 0.005 14401.0 9833.0 1.0
k1DhaB 0.493 0.58 -0.592 1.582 0.006 0.004 10363.0 12603.0 1.0
k2DhaB -0.664 0.589 -1.809 0.385 0.009 0.01 5792.0 4087.0 1.0
k3DhaB 1.472 0.466 0.61 2.355 0.005 0.003 10458.0 13153.0 1.0
k4DhaB 2.337 0.603 1.255 3.5 0.006 0.004 10404.0 11643.0 1.0
k1DhaT 1.086 0.602 -0.071 2.202 0.006 0.005 9900.0 10093.0 1.0
k2DhaT -0.592 0.653 -1.777 0.701 0.01 0.007 4332.0 1307.0 1.0
k3DhaT 1.294 0.562 0.222 2.355 0.011 0.008 2940.0 891.0 1.0
k4DhaT 1.798 0.663 0.531 3.054 0.012 0.008 3012.0 974.0 1.0
VmaxfMetab -0.416 0.066 -0.538 -0.307 0.001 0.001 4997.0 4338.0 1.0
KmMetabG -2.004 0.51 -2.991 -1.057 0.007 0.006 5350.0 1745.0 1.0
DHAB_INIT -0.081 0.39 -0.816 0.655 0.004 0.003 9342.0 12618.0 1.0
DHAT_INIT -0.087 0.4 -0.788 0.703 0.005 0.003 7761.0 2530.0 1.0
