 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.994 0.874 -5.623 -2.384 0.004 0.003 35436.0 20177.0 1.0
PermCellPDO -3.985 0.875 -5.587 -2.342 0.005 0.003 31595.0 18910.0 1.0
PermCell3HPA -4.002 0.867 -5.588 -2.375 0.005 0.003 33917.0 19980.0 1.0
k1DhaB 0.615 0.568 -0.436 1.698 0.004 0.003 19305.0 23926.0 1.0
k2DhaB -0.692 0.68 -2.001 0.496 0.005 0.004 17441.0 19764.0 1.0
k3DhaB 2.308 0.238 1.866 2.752 0.001 0.001 35670.0 30673.0 1.0
k4DhaB 2.861 0.509 1.943 3.837 0.003 0.002 24430.0 22417.0 1.0
k1DhaT 1.645 0.557 0.64 2.722 0.004 0.003 23508.0 24047.0 1.0
k2DhaT 0.367 0.394 -0.351 1.127 0.003 0.002 21936.0 26411.0 1.0
k3DhaT 1.756 0.408 1.0 2.53 0.002 0.002 27203.0 28020.0 1.0
k4DhaT 2.171 0.539 1.137 3.171 0.004 0.003 23585.0 24253.0 1.0
VmaxfMetab -0.445 0.058 -0.557 -0.343 0.0 0.0 20045.0 21262.0 1.0
KmMetabG -2.001 0.499 -2.927 -1.052 0.002 0.002 40685.0 29386.0 1.0
DHAB_INIT -0.567 0.389 -1.258 0.184 0.003 0.002 21296.0 24491.0 1.0
DHAT_INIT -0.673 0.31 -1.24 -0.068 0.002 0.001 22476.0 25290.0 1.0
