 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.992 0.873 -5.608 -2.363 0.004 0.003 38232.0 20623.0 1.0
PermCellPDO -3.987 0.878 -5.63 -2.365 0.004 0.003 36291.0 17675.0 1.0
PermCell3HPA -3.985 0.873 -5.524 -2.274 0.005 0.003 33390.0 20879.0 1.0
k1DhaB 0.616 0.572 -0.456 1.693 0.004 0.003 19136.0 22021.0 1.0
k2DhaB -0.688 0.683 -2.009 0.509 0.005 0.004 19556.0 20414.0 1.0
k3DhaB 2.308 0.238 1.859 2.751 0.001 0.001 35359.0 29782.0 1.0
k4DhaB 2.863 0.509 1.919 3.81 0.003 0.003 23170.0 21870.0 1.0
k1DhaT 1.641 0.563 0.609 2.72 0.004 0.003 22283.0 24495.0 1.0
k2DhaT 0.364 0.394 -0.393 1.093 0.003 0.002 22527.0 26829.0 1.0
k3DhaT 1.753 0.406 0.994 2.52 0.003 0.002 24134.0 27371.0 1.0
k4DhaT 2.167 0.541 1.132 3.168 0.004 0.003 23038.0 24691.0 1.0
VmaxfMetab -0.445 0.057 -0.551 -0.343 0.0 0.0 19117.0 17336.0 1.0
KmMetabG -1.998 0.502 -2.97 -1.086 0.002 0.002 44267.0 29266.0 1.0
DHAB_INIT -0.567 0.387 -1.272 0.161 0.003 0.002 21025.0 25444.0 1.0
DHAT_INIT -0.67 0.309 -1.251 -0.089 0.002 0.001 21838.0 25036.0 1.0
